,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Thumb,Index,Middle,Ring,Pinkie
0,68,36,24,18,16,45,63,33,2370.0,3964.0,2826.0,3808.0,2633.0
1,69,38,25,20,15,44,63,33,2374.0,3973.0,2828.0,3807.0,2640.0
2,70,39,25,21,17,59,67,35,2374.0,3973.0,2829.0,3807.0,2640.0
3,80,38,23,21,17,133,53,44,2373.0,3974.0,2830.0,3807.0,2641.0
4,78,45,26,22,19,139,47,44,2373.0,3974.0,2830.0,3807.0,2641.0
5,75,45,28,22,20,144,45,44,2372.0,3974.0,2830.0,3807.0,2641.0
6,79,46,29,21,22,149,65,48,2373.0,3974.0,2829.0,3807.0,2641.0
7,79,47,28,21,21,144,60,48,E,r,r,o,r
8,69,47,29,21,21,78,62,40,2372.0,3974.0,2830.0,3807.0,2641.0
9,59,40,26,19,21,146,64,40,2372.0,3974.0,2829.0,3807.0,2641.0
10,72,42,24,19,22,147,69,39,E,r,r,o,r
11,70,39,23,18,19,149,51,39,2372.0,3974.0,2829.0,3807.0,2641.0
12,73,42,28,19,19,149,63,42,2372.0,3974.0,2829.0,3807.0,2641.0
13,73,43,28,18,20,157,63,44,E,r,r,o,r
14,74,43,27,19,19,89,63,46,2372.0,3974.0,2830.0,3807.0,2640.0
15,65,42,28,21,22,137,62,49,2372.0,3974.0,2830.0,3807.0,2640.0
16,65,43,27,22,21,140,65,50,E,r,r,o,r
17,64,39,24,20,21,142,69,47,2372.0,3974.0,2830.0,3807.0,2641.0
18,66,41,25,21,23,133,71,45,2372.0,3974.0,2830.0,3807.0,2641.0
19,64,41,24,21,23,133,70,45,E,r,r,o,r
20,68,45,24,19,19,73,76,44,2372.0,3974.0,2829.0,3807.0,2641.0
21,69,46,25,19,20,56,72,36,2372.0,3973.0,2830.0,3807.0,2641.0
22,75,52,25,20,23,135,75,37,2372.0,3973.0,2829.0,3807.0,2641.0
23,75,53,24,20,22,145,73,41,2371.0,3972.0,2830.0,3807.0,2641.0
24,75,52,25,19,22,149,76,44,2371.0,3971.0,2830.0,3807.0,2641.0
25,85,48,24,22,23,149,70,44,2371.0,3971.0,2829.0,3807.0,2641.0
26,84,45,24,23,22,149,75,48,2371.0,3970.0,2829.0,3807.0,2641.0
27,87,40,24,24,19,80,57,48,2370.0,3969.0,2829.0,3807.0,2641.0
28,87,37,22,22,18,68,70,45,2370.0,3969.0,2829.0,3807.0,2641.0
29,95,41,24,21,17,96,66,42,2370.0,3969.0,2829.0,3807.0,2641.0
30,87,43,24,19,17,135,72,47,2371.0,3968.0,2829.0,3807.0,2641.0
31,87,44,25,21,19,149,73,47,2370.0,3968.0,2829.0,3807.0,2641.0
