,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Thumb,Index,Middle,Ring,Pinkie
0,251,119,42,19,16,18,29,61,2476.0,4057.0,3359.0,4057.0,3276.0
1,284,115,43,21,17,20,27,65,2442.0,4041.0,3096.0,3916.0,2911.0
2,289,112,32,19,17,22,31,80,2442.0,4042.0,3097.0,3916.0,2911.0
3,258,120,31,19,19,22,29,72,2442.0,4041.0,3097.0,3916.0,2911.0
4,289,121,33,22,20,22,28,77,E,r,r,o,r
5,278,111,37,23,21,23,27,75,2442.0,4041.0,3097.0,3916.0,2911.0
6,264,111,40,24,22,22,27,71,2442.0,4041.0,3097.0,3916.0,2911.0
7,315,125,43,24,20,20,24,96,E,r,r,o,r
8,324,112,44,25,19,21,27,107,2441.0,4042.0,3097.0,3916.0,2911.0
9,311,120,42,24,20,21,28,108,2442.0,4041.0,3097.0,3916.0,2911.0
10,340,128,38,24,20,21,29,111,2442.0,4041.0,3097.0,3916.0,2911.0
11,337,123,36,22,21,21,30,112,2442.0,4042.0,3096.0,3916.0,2911.0
12,331,110,30,21,22,22,29,90,2442.0,4042.0,3097.0,3916.0,2911.0
13,310,113,30,19,20,20,26,90,2442.0,4041.0,3096.0,3916.0,2911.0
14,300,105,28,17,19,20,23,87,2441.0,4042.0,3097.0,3916.0,2911.0
15,265,98,33,22,20,20,23,87,2442.0,4041.0,3097.0,3915.0,2911.0
16,278,108,32,23,18,19,22,94,2442.0,4041.0,3097.0,3915.0,2911.0
17,273,126,33,23,18,19,21,84,2442.0,4041.0,3097.0,3916.0,2911.0
18,295,129,31,23,18,17,22,72,2442.0,4041.0,3097.0,3916.0,2911.0
19,301,115,32,24,18,18,27,85,E,r,r,o,r
20,313,117,35,21,17,17,26,100,2442.0,4041.0,3097.0,3916.0,2911.0
21,365,114,35,21,17,18,26,100,2442.0,4041.0,3097.0,3916.0,2911.0
22,328,97,35,20,18,19,26,104,E,r,r,o,r
23,338,87,36,20,18,21,29,106,2442.0,4041.0,3097.0,3916.0,2911.0
24,365,122,44,20,18,20,25,95,2442.0,4041.0,3097.0,3916.0,2911.0
25,384,133,48,21,18,19,27,84,2442.0,4041.0,3097.0,3916.0,2911.0
26,326,129,53,23,20,20,34,96,2442.0,4042.0,3097.0,3916.0,2912.0
27,336,125,54,23,19,19,36,93,2442.0,4041.0,3097.0,3916.0,2911.0
28,306,126,58,24,19,17,32,87,2442.0,4041.0,3097.0,3916.0,2911.0
29,262,101,54,24,19,17,34,85,2442.0,4041.0,3096.0,3916.0,2911.0
30,222,87,46,21,20,17,32,78,2442.0,4041.0,3097.0,3917.0,2911.0
31,244,85,43,20,17,13,23,51,E,r,r,o,r
32,257,84,43,20,18,15,23,57,2442.0,4041.0,3097.0,3917.0,2912.0
33,293,94,41,20,17,17,24,63,2442.0,4041.0,3097.0,3917.0,2912.0
34,292,79,39,20,16,19,25,64,2442.0,4041.0,3097.0,3917.0,2911.0
35,280,74,40,21,16,20,26,64,2442.0,4041.0,3097.0,3918.0,2911.0
36,254,80,42,21,17,21,28,70,2443.0,4042.0,3097.0,3918.0,2910.0
37,228,89,40,20,14,19,27,62,2443.0,4041.0,3097.0,3920.0,2910.0
38,179,78,42,21,16,17,26,57,2443.0,4041.0,3097.0,3921.0,2909.0
39,158,83,44,23,17,17,24,52,E,r,r,o,r
40,156,80,53,22,17,19,24,50,2443.0,4041.0,3098.0,3923.0,2911.0
41,143,77,50,22,18,21,34,38,2443.0,4041.0,3098.0,3925.0,2917.0
42,145,64,51,40,33,39,38,42,E,r,r,o,r
43,153,62,48,47,38,43,42,39,2444.0,4042.0,3103.0,3935.0,2932.0
44,147,56,49,55,39,45,44,40,2444.0,4042.0,3103.0,3937.0,2934.0
45,146,55,44,64,40,44,43,41,2445.0,4042.0,3105.0,3939.0,2936.0
46,109,43,49,85,44,44,35,39,2446.0,4042.0,3108.0,3943.0,2938.0
47,81,42,48,83,35,29,33,33,2446.0,4042.0,3111.0,3945.0,2938.0
48,153,56,50,89,29,23,30,35,2447.0,4042.0,3118.0,3948.0,2938.0
49,163,55,50,98,27,20,27,33,2448.0,4043.0,3122.0,3951.0,2939.0
50,166,54,47,114,30,21,41,36,2449.0,4043.0,3125.0,3953.0,2940.0
51,189,59,54,142,30,23,44,40,2449.0,4045.0,3132.0,3955.0,2941.0
52,199,58,57,154,39,25,45,42,2450.0,4046.0,3136.0,3959.0,2946.0
53,142,40,55,169,47,28,52,47,2450.0,4048.0,3142.0,3961.0,2949.0
54,161,38,57,198,50,28,54,53,2450.0,4048.0,3144.0,3966.0,2952.0
55,179,38,55,211,53,30,50,58,E,r,r,o,r
56,184,36,49,209,51,29,50,58,2450.0,4049.0,3152.0,3972.0,2956.0
57,214,35,55,211,48,29,64,70,2450.0,4049.0,3152.0,3972.0,2959.0
58,228,47,67,212,43,29,62,68,2451.0,4049.0,3155.0,3976.0,2966.0
59,215,58,68,192,43,28,77,68,2451.0,4049.0,3159.0,3981.0,2969.0
60,277,70,77,180,43,32,82,66,2451.0,4049.0,3160.0,3985.0,2975.0
61,286,86,81,196,48,34,87,68,2451.0,4049.0,3162.0,3988.0,2983.0
62,289,89,80,204,46,34,77,59,2452.0,4049.0,3164.0,3995.0,3006.0
63,281,84,80,198,51,34,76,64,2454.0,4048.0,3167.0,4002.0,3022.0
64,288,80,78,204,47,36,63,63,E,r,r,o,r
65,224,74,70,202,54,41,65,67,2454.0,4048.0,3170.0,4009.0,3040.0
66,213,55,60,170,55,42,96,65,2455.0,4048.0,3171.0,4012.0,3049.0
67,206,50,69,155,55,43,109,74,2455.0,4047.0,3173.0,4015.0,3059.0
68,271,63,63,196,49,44,129,74,2456.0,4047.0,3176.0,4021.0,3080.0
69,271,61,69,190,55,49,133,81,2457.0,4047.0,3178.0,4024.0,3090.0
70,303,72,72,188,47,43,140,83,2457.0,4047.0,3180.0,4026.0,3102.0
71,309,78,87,209,44,42,121,87,2459.0,4047.0,3186.0,4031.0,3126.0
72,293,84,79,246,47,50,114,84,2459.0,4047.0,3189.0,4033.0,3137.0
73,238,84,90,286,54,63,103,84,2460.0,4047.0,3192.0,4035.0,3148.0
74,240,93,87,286,49,62,109,77,2461.0,4047.0,3199.0,4038.0,3165.0
75,198,82,88,288,64,80,106,75,2461.0,4047.0,3203.0,4039.0,3173.0
76,196,98,78,281,65,85,111,73,2463.0,4047.0,3214.0,4042.0,3191.0
77,242,116,78,261,70,82,110,77,E,r,r,o,r
78,249,117,60,172,70,78,111,103,2464.0,4046.0,3226.0,4045.0,3208.0
79,246,111,66,202,77,86,108,106,2466.0,4046.0,3240.0,4047.0,3221.0
80,257,111,69,213,75,87,111,108,2466.0,4046.0,3253.0,4048.0,3231.0
81,262,96,67,209,80,91,108,122,E,r,r,o,r
82,244,76,72,221,86,100,116,126,2468.0,4046.0,3267.0,4050.0,3235.0
83,239,73,72,235,95,107,121,116,2469.0,4045.0,3273.0,4051.0,3241.0
84,248,72,70,241,97,109,129,123,2469.0,4045.0,3279.0,4051.0,3244.0
85,239,75,65,236,90,101,135,119,2470.0,4045.0,3285.0,4052.0,3247.0
86,256,78,70,241,92,104,134,102,2471.0,4045.0,3303.0,4053.0,3251.0
87,237,68,67,245,90,103,136,87,2471.0,4045.0,3313.0,4053.0,3255.0
88,240,64,71,253,85,105,143,83,2472.0,4045.0,3313.0,4054.0,3256.0
89,262,68,69,241,84,97,136,81,2472.0,4045.0,3321.0,4054.0,3256.0
90,273,66,68,251,94,102,126,94,2473.0,4046.0,3324.0,4054.0,3257.0
91,237,63,60,252,92,100,124,98,2473.0,4046.0,3328.0,4055.0,3259.0
92,250,62,58,277,89,99,124,111,2474.0,4046.0,3333.0,4055.0,3261.0
93,256,60,52,271,100,117,114,111,2474.0,4046.0,3334.0,4055.0,3262.0
94,225,69,55,252,110,132,113,111,2474.0,4046.0,3336.0,4055.0,3262.0
95,206,77,68,245,103,126,106,109,2475.0,4046.0,3340.0,4056.0,3264.0
96,231,73,71,235,110,131,111,112,2474.0,4046.0,3341.0,4056.0,3265.0
97,242,77,76,172,114,128,94,107,2474.0,4046.0,3342.0,4056.0,3265.0
98,249,80,91,166,125,126,89,119,2475.0,4046.0,3343.0,4056.0,3265.0
99,258,69,92,188,116,114,89,114,2475.0,4046.0,3343.0,4056.0,3265.0
100,283,62,90,176,116,118,104,115,2475.0,4046.0,3344.0,4056.0,3265.0
101,273,64,94,197,112,107,129,126,2475.0,4047.0,3345.0,4056.0,3266.0
102,257,65,107,283,109,107,135,127,2475.0,4046.0,3348.0,4056.0,3265.0
103,234,63,97,301,87,78,138,108,E,r,r,o,r
104,218,64,91,294,89,76,151,106,2475.0,4047.0,3348.0,4057.0,3265.0
105,191,59,91,296,89,70,160,102,2475.0,4047.0,3348.0,4056.0,3264.0
106,189,59,87,297,95,79,142,79,2476.0,4047.0,3348.0,4056.0,3264.0
107,191,51,63,234,90,77,138,66,E,r,r,o,r
108,211,44,62,211,83,74,140,79,2475.0,4047.0,3348.0,4056.0,3263.0
109,209,51,63,202,89,89,139,89,2475.0,4047.0,3348.0,4056.0,3263.0
110,244,59,59,203,100,97,127,92,E,r,r,o,r
111,247,59,63,203,96,91,126,98,2475.0,4047.0,3348.0,4056.0,3263.0
112,229,61,74,190,105,95,131,100,2476.0,4047.0,3348.0,4056.0,3263.0
113,278,69,70,200,106,94,144,109,E,r,r,o,r
114,292,73,74,199,98,78,135,104,2475.0,4047.0,3348.0,4056.0,3263.0
115,259,69,68,189,88,75,133,100,2475.0,4047.0,3349.0,4056.0,3262.0
116,250,72,61,159,76,71,127,99,E,r,r,o,r
117,278,73,52,170,60,61,130,101,2475.0,4047.0,3349.0,4057.0,3262.0
118,226,71,56,148,60,63,98,80,2476.0,4047.0,3349.0,4056.0,3262.0
119,210,63,48,158,64,61,98,75,2476.0,4047.0,3349.0,4056.0,3262.0
120,229,63,56,155,61,55,100,84,2475.0,4047.0,3349.0,4056.0,3262.0
121,246,61,56,153,61,55,102,81,2475.0,4047.0,3349.0,4056.0,3262.0
122,242,59,50,152,64,55,89,93,2475.0,4047.0,3349.0,4056.0,3262.0
123,259,57,56,156,64,60,93,102,2475.0,4047.0,3349.0,4057.0,3262.0
124,263,55,56,149,61,60,82,100,2476.0,4047.0,3350.0,4056.0,3262.0
125,265,54,57,161,66,60,94,103,2476.0,4047.0,3350.0,4056.0,3262.0
126,264,55,59,159,72,60,99,102,2476.0,4047.0,3350.0,4056.0,3262.0
127,238,51,59,144,69,62,100,88,2476.0,4047.0,3350.0,4057.0,3262.0
128,255,48,56,140,72,67,102,97,2476.0,4047.0,3350.0,4057.0,3262.0
129,252,51,58,134,75,77,120,99,2476.0,4047.0,3350.0,4057.0,3262.0
130,241,63,52,157,73,75,112,100,2476.0,4047.0,3351.0,4057.0,3263.0
131,225,66,57,162,68,77,114,102,2476.0,4047.0,3351.0,4057.0,3262.0
132,240,66,63,161,71,82,125,104,2475.0,4047.0,3350.0,4057.0,3262.0
133,214,69,62,176,67,77,120,92,2476.0,4047.0,3351.0,4057.0,3262.0
134,234,70,66,182,68,77,114,99,2476.0,4047.0,3351.0,4057.0,3262.0
135,246,61,67,158,74,80,114,83,2476.0,4047.0,3351.0,4057.0,3262.0
136,257,60,65,157,76,77,117,82,2476.0,4047.0,3351.0,4057.0,3263.0
137,268,66,64,159,72,68,104,79,2476.0,4047.0,3351.0,4057.0,3263.0
138,241,62,68,140,71,70,107,68,2476.0,4047.0,3351.0,4056.0,3263.0
139,229,64,64,136,64,61,94,58,2476.0,4047.0,3351.0,4057.0,3262.0
140,209,65,79,149,57,59,98,76,2476.0,4047.0,3350.0,4057.0,3262.0
141,209,65,84,151,56,66,101,76,2475.0,4047.0,3351.0,4057.0,3262.0
142,198,64,80,143,60,70,102,77,2476.0,4047.0,3351.0,4057.0,3262.0
143,211,63,78,154,57,64,105,80,E,r,r,o,r
144,201,63,80,162,65,64,121,88,2476.0,4047.0,3351.0,4057.0,3263.0
145,197,59,68,177,66,62,116,81,2476.0,4047.0,3351.0,4057.0,3262.0
146,196,54,64,174,61,56,104,85,2476.0,4047.0,3351.0,4057.0,3262.0
147,289,57,71,174,64,71,118,104,2476.0,4047.0,3352.0,4057.0,3262.0
148,307,59,65,163,67,73,112,105,2476.0,4047.0,3351.0,4057.0,3262.0
149,333,52,74,156,62,71,92,104,2476.0,4047.0,3351.0,4057.0,3262.0
