,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Thumb,Index,Middle,Ring,Pinkie
0,76,114,25,20,29,30,25,31,2685.0,4079.0,3779.0,4071.0,3335.0
1,92,125,29,19,43,28,28,33,2545.0,3980.0,3257.0,4001.0,2892.0
2,78,120,28,21,48,26,28,35,2545.0,3980.0,3256.0,4001.0,2893.0
3,86,123,30,23,48,28,30,39,2544.0,3980.0,3256.0,4001.0,2892.0
4,78,113,28,23,48,23,31,36,2545.0,3980.0,3256.0,4001.0,2892.0
5,78,89,26,24,47,22,32,36,2545.0,3980.0,3257.0,4001.0,2892.0
6,84,146,22,25,41,27,30,34,2544.0,3980.0,3256.0,4001.0,2892.0
7,92,156,22,24,41,29,31,34,2545.0,3980.0,3256.0,4001.0,2892.0
8,88,158,19,22,42,28,32,32,E,r,r,o,r
9,92,162,18,23,42,30,31,32,2544.0,3980.0,3256.0,4001.0,2892.0
10,102,160,21,23,42,30,31,33,2544.0,3980.0,3256.0,4001.0,2892.0
11,81,90,20,24,38,25,32,34,E,r,r,o,r
12,79,105,20,23,39,26,34,34,2545.0,3980.0,3256.0,4001.0,2892.0
13,74,119,23,23,39,32,33,32,2545.0,3980.0,3256.0,4001.0,2892.0
14,66,121,23,24,37,32,32,33,2544.0,3980.0,3256.0,4001.0,2892.0
15,70,135,26,24,37,32,33,38,E,r,r,o,r
16,71,134,26,24,33,34,30,37,2545.0,3980.0,3256.0,4001.0,2892.0
17,65,119,25,25,39,33,29,36,2545.0,3980.0,3256.0,4001.0,2892.0
18,73,97,23,23,42,26,29,34,2545.0,3980.0,3256.0,4001.0,2892.0
19,73,89,23,22,42,24,30,34,2545.0,3980.0,3256.0,4001.0,2892.0
20,57,69,16,24,42,24,29,27,2545.0,3980.0,3256.0,4001.0,2892.0
21,81,133,23,25,41,23,30,26,2545.0,3980.0,3256.0,4001.0,2892.0
22,87,143,25,26,38,26,28,28,2545.0,3980.0,3256.0,4001.0,2892.0
23,82,151,25,27,38,29,29,27,2545.0,3980.0,3256.0,4001.0,2892.0
24,83,154,25,28,37,30,28,24,2545.0,3980.0,3256.0,4001.0,2892.0
25,88,158,26,27,37,29,28,25,2545.0,3980.0,3256.0,4001.0,2892.0
26,78,112,23,25,39,35,31,31,2544.0,3980.0,3256.0,4001.0,2892.0
27,77,90,22,24,30,34,30,30,2544.0,3980.0,3256.0,4001.0,2892.0
28,77,134,27,24,27,32,31,32,2544.0,3980.0,3256.0,4001.0,2892.0
29,78,145,29,22,39,32,31,34,2544.0,3980.0,3256.0,4001.0,2892.0
30,69,143,29,22,43,34,31,35,2544.0,3980.0,3256.0,4001.0,2892.0
31,55,145,29,23,41,28,35,36,2543.0,3980.0,3255.0,4001.0,2892.0
32,42,143,28,20,40,25,33,35,2542.0,3980.0,3255.0,4001.0,2892.0
33,35,95,73,18,39,25,30,34,2542.0,3980.0,3255.0,4001.0,2892.0
34,31,72,88,23,29,25,30,32,2541.0,3980.0,3255.0,4001.0,2892.0
35,32,67,93,24,42,53,32,32,2541.0,3980.0,3255.0,4001.0,2892.0
36,31,52,97,28,54,76,27,27,2541.0,3980.0,3253.0,4001.0,2892.0
37,30,51,99,30,58,82,29,28,2542.0,3980.0,3251.0,4001.0,2892.0
38,32,39,71,32,60,84,30,30,2542.0,3980.0,3251.0,4002.0,2892.0
39,47,40,53,29,61,85,31,29,2541.0,3980.0,3253.0,4002.0,2892.0
40,47,36,65,29,54,73,29,29,2542.0,3980.0,3255.0,4003.0,2890.0
41,46,37,63,28,48,48,27,26,2542.0,3981.0,3258.0,4006.0,2892.0
42,48,41,75,30,54,42,27,25,2541.0,3982.0,3266.0,4009.0,2895.0
43,62,50,92,42,57,49,30,50,E,r,r,o,r
44,74,86,100,47,59,61,57,66,2537.0,3995.0,3305.0,4018.0,2930.0
45,105,107,111,51,54,60,58,73,2535.0,4001.0,3323.0,4022.0,2942.0
46,110,136,177,77,70,132,80,96,2530.0,4015.0,3361.0,4028.0,2966.0
47,118,145,179,77,85,171,108,116,E,r,r,o,r
48,181,143,175,74,84,176,126,117,2526.0,4040.0,3437.0,4036.0,2998.0
49,181,197,174,74,85,178,136,138,2524.0,4050.0,3469.0,4039.0,3016.0
50,173,196,165,72,87,182,141,138,2521.0,4059.0,3502.0,4043.0,3032.0
51,197,197,104,46,75,145,153,127,2511.0,4069.0,3564.0,4054.0,3084.0
52,276,231,126,53,79,190,194,165,E,r,r,o,r
53,261,238,130,54,98,233,215,174,2507.0,4073.0,3618.0,4059.0,3104.0
54,267,192,136,52,108,249,227,167,2503.0,4075.0,3644.0,4061.0,3141.0
55,276,190,148,60,147,284,242,170,2502.0,4075.0,3651.0,4062.0,3154.0
56,294,186,159,87,219,381,259,189,2500.0,4076.0,3655.0,4062.0,3167.0
57,249,189,175,107,274,466,259,159,2505.0,4077.0,3660.0,4062.0,3197.0
58,250,224,200,127,276,465,245,149,2513.0,4077.0,3664.0,4062.0,3226.0
59,287,272,253,139,288,482,236,147,2518.0,4077.0,3664.0,4062.0,3238.0
60,332,370,392,166,317,517,229,150,2521.0,4078.0,3669.0,4063.0,3258.0
61,320,398,484,189,290,482,208,129,2526.0,4078.0,3675.0,4063.0,3269.0
62,348,412,539,208,262,442,176,114,2528.0,4078.0,3684.0,4064.0,3280.0
63,354,397,556,222,297,488,182,122,2534.0,4078.0,3703.0,4064.0,3295.0
64,321,368,549,218,308,510,176,123,2538.0,4078.0,3711.0,4064.0,3302.0
65,338,276,485,208,287,509,182,122,2550.0,4078.0,3722.0,4065.0,3313.0
66,373,306,444,221,314,556,187,128,E,r,r,o,r
67,342,297,448,227,314,559,193,135,2577.0,4079.0,3731.0,4065.0,3321.0
68,323,309,466,212,313,596,192,134,2590.0,4079.0,3738.0,4066.0,3324.0
69,377,337,479,219,349,684,208,138,2600.0,4079.0,3743.0,4066.0,3327.0
70,335,336,474,233,351,691,204,132,2610.0,4079.0,3749.0,4066.0,3336.0
71,301,271,452,212,339,668,204,127,E,r,r,o,r
72,297,255,389,186,369,735,217,119,2622.0,4079.0,3751.0,4067.0,3339.0
73,314,270,401,227,343,668,200,112,2645.0,4079.0,3752.0,4067.0,3341.0
74,261,246,490,277,319,578,189,94,2651.0,4079.0,3754.0,4067.0,3343.0
75,246,253,492,265,301,558,184,92,2651.0,4080.0,3756.0,4067.0,3343.0
76,255,293,493,253,289,566,186,101,2658.0,4080.0,3757.0,4067.0,3346.0
77,270,279,525,254,251,475,157,98,2663.0,4080.0,3758.0,4067.0,3348.0
78,253,304,498,212,253,527,166,95,2670.0,4080.0,3758.0,4068.0,3349.0
79,241,312,406,145,247,554,179,99,2678.0,4080.0,3759.0,4068.0,3350.0
80,245,307,484,178,267,578,192,106,2681.0,4080.0,3760.0,4068.0,3352.0
81,223,286,529,186,298,621,193,97,2684.0,4080.0,3760.0,4068.0,3353.0
82,187,282,525,190,278,575,184,97,2690.0,4080.0,3762.0,4068.0,3354.0
83,218,310,551,231,376,640,265,118,2697.0,4080.0,3763.0,4068.0,3354.0
84,254,358,616,247,394,641,271,114,2697.0,4080.0,3763.0,4069.0,3354.0
85,247,359,574,234,408,671,279,110,2699.0,4080.0,3764.0,4068.0,3354.0
86,236,358,511,236,398,629,279,113,2702.0,4080.0,3765.0,4069.0,3354.0
87,264,394,513,246,447,697,307,123,2704.0,4080.0,3765.0,4069.0,3354.0
88,237,341,470,212,372,615,239,100,2707.0,4080.0,3767.0,4069.0,3354.0
89,210,275,371,191,382,652,263,100,2712.0,4080.0,3770.0,4069.0,3353.0
90,220,275,341,177,359,589,244,99,2714.0,4080.0,3770.0,4069.0,3352.0
91,231,279,385,177,336,547,230,93,2716.0,4080.0,3774.0,4069.0,3351.0
92,212,242,343,173,295,497,208,96,2717.0,4081.0,3776.0,4069.0,3351.0
93,239,245,461,183,328,566,249,112,2715.0,4080.0,3777.0,4069.0,3352.0
94,235,275,489,184,265,472,204,115,2716.0,4080.0,3782.0,4068.0,3352.0
95,238,314,546,191,264,494,212,129,2717.0,4080.0,3784.0,4069.0,3352.0
96,264,305,579,206,309,520,229,133,2718.0,4080.0,3784.0,4069.0,3352.0
97,268,293,570,189,299,513,224,121,2717.0,4081.0,3787.0,4069.0,3352.0
98,246,279,485,179,264,448,176,106,2717.0,4080.0,3789.0,4069.0,3352.0
99,234,241,443,166,268,458,176,96,2716.0,4080.0,3789.0,4069.0,3352.0
100,242,217,371,155,264,414,161,78,2715.0,4080.0,3790.0,4069.0,3351.0
101,197,210,286,133,229,429,157,65,2715.0,4080.0,3792.0,4069.0,3350.0
102,197,208,292,140,211,399,142,65,E,r,r,o,r
103,193,205,290,139,213,373,144,67,2715.0,4080.0,3793.0,4069.0,3350.0
104,215,233,327,164,229,426,159,72,2717.0,4080.0,3794.0,4069.0,3349.0
105,190,196,326,173,233,434,162,71,E,r,r,o,r
106,208,191,310,160,225,410,149,73,2719.0,4081.0,3794.0,4069.0,3349.0
107,202,211,298,149,220,403,148,81,2725.0,4081.0,3795.0,4069.0,3349.0
108,221,220,319,158,239,423,155,91,E,r,r,o,r
