,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Thumb,Index,Middle,Ring,Pinkie
0,98,190,93,46,79,182,132,43,2284.0,4023.0,2958.0,4070.0,2775.0
1,120,195,92,50,83,166,121,41,2277.0,4021.0,2931.0,4069.0,2782.0
2,127,154,80,55,77,169,128,41,2278.0,4021.0,2932.0,4069.0,2782.0
3,117,148,81,60,76,133,123,36,2278.0,4021.0,2931.0,4069.0,2782.0
4,124,143,82,57,68,134,129,40,E,r,r,o,r
5,130,146,68,59,77,137,131,40,2277.0,4021.0,2931.0,4069.0,2782.0
6,119,152,60,64,104,125,126,47,2277.0,4021.0,2931.0,4069.0,2782.0
7,120,158,63,64,105,143,156,49,2277.0,4022.0,2931.0,4069.0,2782.0
8,155,180,73,58,103,143,157,57,2278.0,4022.0,2932.0,4069.0,2782.0
9,154,192,76,55,101,161,152,54,2277.0,4021.0,2932.0,4069.0,2782.0
10,154,202,76,52,107,164,148,53,2278.0,4021.0,2932.0,4069.0,2782.0
11,150,196,82,52,104,168,141,48,2277.0,4022.0,2931.0,4069.0,2782.0
12,143,185,78,49,99,157,102,46,2277.0,4022.0,2931.0,4069.0,2782.0
13,115,155,66,56,104,163,105,35,2277.0,4022.0,2931.0,4069.0,2782.0
14,120,168,62,57,107,142,98,40,2277.0,4022.0,2931.0,4069.0,2782.0
15,124,177,71,72,136,139,105,43,2277.0,4022.0,2931.0,4069.0,2781.0
16,127,175,67,72,124,132,114,57,2277.0,4022.0,2931.0,4069.0,2782.0
17,133,184,68,71,122,132,130,66,2277.0,4021.0,2931.0,4069.0,2781.0
18,131,208,68,66,119,157,139,75,2277.0,4022.0,2931.0,4069.0,2782.0
19,119,199,69,64,118,159,139,74,2276.0,4022.0,2931.0,4069.0,2782.0
20,118,193,61,46,89,160,139,74,2276.0,4022.0,2931.0,4069.0,2782.0
21,113,195,59,49,87,160,160,64,2276.0,4021.0,2931.0,4069.0,2782.0
22,102,183,58,50,90,157,149,56,2276.0,4022.0,2931.0,4069.0,2782.0
23,116,151,64,51,98,156,154,56,2276.0,4022.0,2931.0,4069.0,2782.0
24,127,142,66,53,107,160,166,60,2276.0,4021.0,2931.0,4069.0,2782.0
25,116,117,63,54,92,153,161,59,2276.0,4021.0,2931.0,4069.0,2782.0
26,124,143,72,43,84,176,155,63,2276.0,4021.0,2931.0,4069.0,2782.0
