,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Thumb,Index,Middle,Ring,Pinkie
0,92,96,21,17,14,17,16,53,2339.0,4037.0,2973.0,3984.0,3334.0
1,103,123,22,17,15,16,15,47,2329.0,4036.0,2886.0,3927.0,2902.0
2,96,107,22,19,17,19,15,49,2328.0,4036.0,2886.0,3927.0,2904.0
3,88,102,22,20,17,18,16,69,2328.0,4036.0,2885.0,3927.0,2904.0
4,87,104,21,19,17,18,16,66,2328.0,4036.0,2886.0,3927.0,2907.0
5,101,120,21,19,18,17,16,67,E,r,r,o,r
6,89,105,21,19,19,19,16,68,2329.0,4036.0,2886.0,3926.0,2910.0
7,89,94,24,17,17,16,16,68,2329.0,4036.0,2886.0,3926.0,2913.0
8,95,93,26,17,17,17,14,51,2329.0,4036.0,2885.0,3926.0,2913.0
9,94,93,26,19,18,18,15,60,2328.0,4036.0,2885.0,3927.0,2913.0
10,86,76,26,19,18,16,16,59,2328.0,4036.0,2885.0,3927.0,2913.0
11,97,73,26,18,17,15,15,58,2329.0,4036.0,2885.0,3926.0,2913.0
12,87,67,24,18,16,15,15,56,2328.0,4036.0,2885.0,3927.0,2913.0
13,81,66,19,18,17,17,17,57,2328.0,4036.0,2885.0,3927.0,2914.0
14,90,68,23,16,17,15,17,58,2328.0,4036.0,2885.0,3927.0,2914.0
15,103,76,22,16,16,15,17,60,2328.0,4036.0,2886.0,3927.0,2912.0
16,91,65,21,17,17,16,17,60,2328.0,4036.0,2886.0,3927.0,2913.0
17,89,65,23,18,17,15,17,62,2329.0,4035.0,2886.0,3927.0,2913.0
18,88,64,26,20,18,28,18,71,E,r,r,o,r
19,92,80,25,22,21,37,18,60,2328.0,4036.0,2886.0,3928.0,2907.0
20,117,107,30,24,24,42,21,63,2328.0,4036.0,2886.0,3928.0,2900.0
21,156,137,33,25,25,44,26,82,2329.0,4036.0,2886.0,3928.0,2889.0
22,238,254,53,34,28,47,40,115,2328.0,4036.0,2886.0,3928.0,2882.0
23,259,265,58,36,30,42,43,117,2329.0,4036.0,2887.0,3928.0,2876.0
24,282,280,61,37,29,47,54,126,2330.0,4036.0,2889.0,3923.0,2870.0
25,385,335,68,39,36,88,73,131,2331.0,4036.0,2890.0,3922.0,2871.0
26,402,358,70,40,38,98,109,128,2332.0,4036.0,2893.0,3919.0,2876.0
27,377,335,57,33,36,100,107,102,2333.0,4037.0,2901.0,3916.0,2896.0
28,396,343,57,35,35,103,142,96,2334.0,4037.0,2901.0,3915.0,2906.0
29,421,368,60,35,35,130,153,96,2335.0,4037.0,2902.0,3913.0,2914.0
30,365,366,56,35,32,141,176,98,2336.0,4037.0,2906.0,3911.0,2933.0
31,358,337,57,35,31,136,160,98,2336.0,4037.0,2909.0,3911.0,2942.0
32,374,359,64,41,35,140,163,106,2337.0,4037.0,2914.0,3910.0,2954.0
33,392,375,67,42,35,142,141,104,2337.0,4037.0,2916.0,3909.0,2960.0
34,358,344,66,43,36,123,185,98,2338.0,4037.0,2920.0,3908.0,2964.0
35,309,289,60,40,32,88,197,88,2338.0,4037.0,2922.0,3907.0,2968.0
36,295,322,59,41,32,94,204,84,2338.0,4037.0,2926.0,3906.0,2970.0
37,260,267,51,36,30,120,214,83,2339.0,4038.0,2927.0,3905.0,2972.0
38,243,267,51,31,30,128,217,81,2339.0,4037.0,2930.0,3905.0,2979.0
39,245,300,52,29,30,126,209,83,2339.0,4038.0,2931.0,3905.0,2989.0
40,251,310,58,33,34,133,221,89,E,r,r,o,r
41,275,306,69,39,47,153,260,102,2340.0,4037.0,2933.0,3905.0,3000.0
42,280,305,71,39,56,146,259,96,2340.0,4037.0,2934.0,3905.0,3006.0
43,235,280,66,38,56,137,274,98,2340.0,4036.0,2935.0,3905.0,3017.0
44,259,274,66,39,57,131,252,92,2341.0,4036.0,2936.0,3905.0,3038.0
45,290,273,68,37,57,124,234,97,2341.0,4036.0,2936.0,3905.0,3048.0
46,271,298,64,35,47,100,238,89,2341.0,4036.0,2936.0,3905.0,3061.0
47,279,315,65,38,37,89,264,90,2341.0,4035.0,2936.0,3904.0,3064.0
48,273,322,64,42,43,113,249,86,2341.0,4035.0,2939.0,3901.0,3087.0
49,234,323,60,43,55,176,264,92,E,r,r,o,r
50,229,365,64,44,55,191,250,89,2342.0,4035.0,2942.0,3903.0,3109.0
51,240,345,62,46,57,191,227,88,2342.0,4035.0,2943.0,3908.0,3152.0
52,220,340,60,46,55,185,194,88,2342.0,4035.0,2943.0,3910.0,3168.0
53,239,366,59,44,51,177,189,98,2342.0,4035.0,2946.0,3911.0,3190.0
54,247,347,59,43,38,114,165,94,2342.0,4035.0,2948.0,3911.0,3195.0
55,213,302,46,39,35,82,158,85,2342.0,4035.0,2950.0,3911.0,3197.0
56,193,303,41,34,33,76,127,80,2342.0,4035.0,2951.0,3911.0,3196.0
57,194,288,44,36,36,97,154,88,2342.0,4034.0,2951.0,3910.0,3191.0
58,184,245,54,50,62,138,191,93,E,r,r,o,r
59,183,252,56,51,68,174,215,102,2341.0,4034.0,2957.0,3910.0,3204.0
60,227,352,59,51,68,176,231,105,2341.0,4035.0,2957.0,3911.0,3215.0
61,302,391,61,51,67,190,261,117,2341.0,4035.0,2961.0,3912.0,3224.0
62,311,395,62,52,70,220,273,117,2341.0,4035.0,2961.0,3913.0,3232.0
63,314,412,54,38,62,205,263,112,2341.0,4035.0,2962.0,3915.0,3244.0
64,315,429,53,36,56,178,313,105,2341.0,4035.0,2963.0,3915.0,3246.0
65,306,361,60,38,57,184,325,102,2341.0,4035.0,2964.0,3915.0,3246.0
66,214,301,54,36,56,197,316,83,2341.0,4035.0,2965.0,3915.0,3247.0
67,211,281,48,31,52,155,299,76,2341.0,4035.0,2965.0,3915.0,3248.0
68,216,282,52,31,36,139,287,66,2342.0,4035.0,2965.0,3916.0,3247.0
69,232,299,55,35,47,164,208,77,2344.0,4035.0,2962.0,3917.0,3246.0
70,229,319,47,35,48,176,195,88,2344.0,4035.0,2963.0,3920.0,3251.0
71,237,347,47,35,51,162,175,94,2345.0,4035.0,2964.0,3927.0,3260.0
72,229,356,48,33,48,168,158,91,2347.0,4035.0,2964.0,3930.0,3277.0
73,237,352,59,48,57,190,240,100,2348.0,4035.0,2964.0,3932.0,3281.0
74,240,321,78,55,49,197,301,106,2348.0,4035.0,2963.0,3935.0,3286.0
75,315,375,92,61,64,198,298,123,2349.0,4035.0,2965.0,3936.0,3286.0
76,343,374,94,63,62,181,298,119,2349.0,4034.0,2968.0,3936.0,3290.0
77,344,370,94,64,62,174,298,118,2349.0,4034.0,2968.0,3936.0,3291.0
78,324,353,85,53,54,151,297,108,2349.0,4034.0,2968.0,3936.0,3290.0
79,300,351,67,47,56,180,269,96,2348.0,4034.0,2967.0,3934.0,3283.0
80,204,264,51,42,46,222,268,64,2348.0,4034.0,2968.0,3929.0,3274.0
81,242,290,67,50,60,260,263,72,2347.0,4034.0,2968.0,3928.0,3265.0
82,247,333,72,51,79,354,281,96,2347.0,4034.0,2969.0,3934.0,3272.0
83,285,355,93,63,86,366,285,146,2348.0,4034.0,2969.0,3934.0,3294.0
84,313,368,98,66,88,353,259,165,2348.0,4034.0,2969.0,3947.0,3318.0
85,308,400,95,63,84,336,282,164,2348.0,4035.0,2968.0,3954.0,3340.0
86,246,361,84,56,78,314,289,160,2348.0,4034.0,2968.0,3954.0,3341.0
87,250,351,83,58,71,234,297,157,2348.0,4035.0,2967.0,3956.0,3338.0
88,215,374,67,52,81,270,249,128,2348.0,4035.0,2967.0,3957.0,3342.0
89,223,405,65,51,89,285,251,109,2348.0,4035.0,2968.0,3960.0,3354.0
90,230,381,69,56,92,272,228,119,2348.0,4036.0,2970.0,3964.0,3366.0
91,239,424,69,55,91,275,235,121,2348.0,4036.0,2969.0,3965.0,3367.0
92,279,425,71,56,90,273,236,130,2348.0,4036.0,2968.0,3967.0,3365.0
93,285,444,75,55,76,237,226,137,2347.0,4036.0,2967.0,3967.0,3363.0
94,261,428,76,55,63,213,224,145,2347.0,4036.0,2968.0,3967.0,3363.0
95,296,427,86,57,62,222,250,152,E,r,r,o,r
96,290,397,88,57,65,229,239,155,2346.0,4036.0,2969.0,3967.0,3363.0
