,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Thumb,Index,Middle,Ring,Pinkie
0,127,93,26,24,21,16,24,51,2451.0,4094.0,2954.0,3922.0,2851.0
1,131,92,27,24,18,15,24,57,2374.0,4047.0,2906.0,3888.0,2805.0
2,129,99,26,25,18,17,23,52,E,r,r,o,r
3,119,73,29,23,18,18,23,53,2375.0,4047.0,2906.0,3888.0,2806.0
4,124,66,28,24,19,19,23,57,2374.0,4048.0,2907.0,3889.0,2806.0
5,115,64,27,23,19,18,22,54,E,r,r,o,r
6,106,65,27,23,18,17,23,44,2375.0,4048.0,2907.0,3889.0,2805.0
7,100,57,27,21,17,17,23,43,2375.0,4048.0,2907.0,3889.0,2805.0
8,105,59,23,22,18,16,23,44,2375.0,4048.0,2907.0,3889.0,2805.0
9,88,56,23,18,19,17,23,43,E,r,r,o,r
10,89,54,24,22,19,18,20,45,2375.0,4048.0,2907.0,3889.0,2805.0
11,103,57,28,22,21,23,22,50,2375.0,4048.0,2907.0,3890.0,2805.0
12,122,66,30,23,21,22,25,58,2375.0,4048.0,2908.0,3890.0,2804.0
13,131,77,33,25,22,25,29,72,2375.0,4047.0,2908.0,3890.0,2804.0
14,139,84,35,25,21,24,28,76,E,r,r,o,r
15,147,87,36,24,20,25,31,81,2375.0,4048.0,2908.0,3890.0,2804.0
16,156,86,33,22,20,21,31,86,2375.0,4048.0,2908.0,3890.0,2805.0
17,146,82,35,22,20,20,30,83,2375.0,4048.0,2908.0,3890.0,2804.0
18,155,96,36,25,23,19,27,77,2375.0,4048.0,2907.0,3890.0,2805.0
19,160,96,37,26,25,20,29,81,2375.0,4048.0,2907.0,3891.0,2805.0
20,161,96,36,26,27,20,30,78,2375.0,4048.0,2908.0,3891.0,2804.0
21,142,92,35,27,26,21,28,71,2375.0,4048.0,2908.0,3891.0,2804.0
22,143,89,33,26,26,20,27,71,2375.0,4048.0,2908.0,3891.0,2804.0
23,123,59,31,24,24,22,26,67,E,r,r,o,r
24,109,48,26,23,23,23,23,56,2375.0,4048.0,2908.0,3891.0,2805.0
25,112,47,27,21,22,21,23,57,2375.0,4048.0,2908.0,3891.0,2805.0
26,110,57,28,21,22,21,22,56,2375.0,4048.0,2908.0,3891.0,2805.0
27,107,62,28,21,22,22,22,55,2375.0,4048.0,2908.0,3891.0,2805.0
28,100,63,26,19,20,20,22,50,2375.0,4048.0,2908.0,3891.0,2805.0
29,103,68,28,20,20,21,24,52,E,r,r,o,r
30,129,80,30,21,18,20,21,55,2374.0,4048.0,2908.0,3891.0,2805.0
31,133,76,30,21,19,21,22,56,2375.0,4047.0,2908.0,3892.0,2806.0
32,130,72,30,22,20,21,22,55,E,r,r,o,r
33,133,70,29,20,19,20,21,54,2375.0,4048.0,2907.0,3892.0,2806.0
34,134,70,30,19,18,17,20,54,2375.0,4048.0,2908.0,3891.0,2806.0
35,100,54,28,18,19,18,20,49,2375.0,4048.0,2908.0,3892.0,2807.0
36,102,58,29,18,17,18,20,54,2375.0,4048.0,2908.0,3892.0,2806.0
37,121,61,28,19,17,18,20,63,2375.0,4048.0,2908.0,3892.0,2806.0
38,117,62,29,22,17,18,20,67,2375.0,4048.0,2908.0,3892.0,2806.0
39,114,60,25,22,16,19,20,68,2375.0,4048.0,2907.0,3892.0,2807.0
