,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Thumb,Index,Middle,Ring,Pinkie
0,372,228,63,35,41,185,112,177,2385.0,4038.0,2879.0,4077.0,2697.0
1,400,230,61,38,56,219,129,190,2398.0,4038.0,2880.0,4078.0,2701.0
2,380,223,59,38,60,215,132,180,2399.0,4038.0,2881.0,4078.0,2701.0
3,440,220,58,39,60,175,115,160,2401.0,4038.0,2880.0,4078.0,2701.0
4,460,173,55,41,65,176,120,164,2401.0,4038.0,2881.0,4078.0,2701.0
5,439,156,37,33,65,172,117,171,2402.0,4038.0,2881.0,4078.0,2701.0
6,480,152,42,32,56,134,113,216,2403.0,4038.0,2881.0,4078.0,2700.0
7,489,137,44,36,66,176,107,212,2403.0,4038.0,2881.0,4078.0,2700.0
8,414,145,46,37,69,187,111,216,2404.0,4038.0,2881.0,4078.0,2700.0
9,426,163,47,39,66,188,102,220,2407.0,4038.0,2881.0,4078.0,2700.0
10,407,160,49,40,67,184,109,215,2407.0,4038.0,2881.0,4078.0,2700.0
11,393,160,50,43,65,177,93,176,2408.0,4038.0,2881.0,4078.0,2700.0
12,367,163,51,39,52,142,87,174,2408.0,4038.0,2881.0,4078.0,2700.0
13,380,182,51,40,65,148,88,172,2408.0,4038.0,2881.0,4078.0,2700.0
14,388,168,55,39,68,146,118,184,2408.0,4038.0,2881.0,4078.0,2700.0
15,423,177,55,38,64,147,129,169,2408.0,4038.0,2881.0,4078.0,2700.0
16,347,167,51,33,65,148,143,157,2408.0,4038.0,2881.0,4078.0,2700.0
17,365,167,49,36,66,141,148,157,2408.0,4038.0,2881.0,4078.0,2700.0
18,343,142,48,34,51,134,151,151,2407.0,4038.0,2881.0,4078.0,2699.0
19,315,146,43,35,55,134,134,119,E,r,r,o,r
20,294,151,43,36,64,181,123,115,2407.0,4038.0,2881.0,4078.0,2700.0
21,299,168,44,38,62,184,113,116,2407.0,4038.0,2881.0,4078.0,2700.0
22,272,182,47,35,61,183,102,112,2407.0,4038.0,2881.0,4078.0,2700.0
23,259,192,51,36,63,182,99,112,2407.0,4038.0,2881.0,4078.0,2700.0
24,242,183,51,34,61,178,103,115,2406.0,4038.0,2881.0,4078.0,2700.0
25,217,167,49,37,57,158,104,124,2406.0,4038.0,2880.0,4078.0,2700.0
26,224,165,51,37,57,158,104,117,2406.0,4038.0,2880.0,4078.0,2700.0
27,288,147,46,38,54,152,107,132,2406.0,4038.0,2881.0,4078.0,2699.0
28,303,137,43,39,49,143,108,131,2406.0,4038.0,2880.0,4078.0,2700.0
29,322,126,46,42,52,169,164,132,2405.0,4038.0,2881.0,4078.0,2700.0
30,328,156,54,44,53,148,191,136,2405.0,4038.0,2880.0,4078.0,2700.0
31,324,140,53,43,52,142,187,135,2405.0,4038.0,2880.0,4078.0,2700.0
32,303,146,59,44,55,145,192,138,2404.0,4038.0,2881.0,4078.0,2699.0
33,327,145,59,42,64,157,194,171,E,r,r,o,r
34,305,147,57,40,62,144,154,172,2404.0,4038.0,2881.0,4078.0,2699.0
35,312,116,51,35,59,134,115,162,2403.0,4038.0,2881.0,4078.0,2698.0
36,317,117,50,34,59,130,119,166,2404.0,4038.0,2881.0,4078.0,2698.0
37,303,119,47,34,56,156,116,149,2403.0,4038.0,2881.0,4078.0,2698.0
38,272,113,46,34,79,194,108,127,2403.0,4038.0,2880.0,4078.0,2698.0
39,281,118,47,31,77,200,98,139,2403.0,4038.0,2881.0,4078.0,2698.0
40,324,117,51,36,77,211,99,143,2403.0,4038.0,2881.0,4078.0,2698.0
41,327,135,54,39,80,222,120,147,2402.0,4038.0,2881.0,4078.0,2698.0
42,401,137,52,39,88,207,132,178,2402.0,4039.0,2881.0,4078.0,2698.0
43,437,145,52,41,61,159,134,182,2403.0,4038.0,2881.0,4078.0,2698.0
44,453,141,51,42,59,131,140,181,2403.0,4038.0,2881.0,4078.0,2699.0
