,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Thumb,Index,Middle,Ring,Pinkie
0,55,47,77,140,64,56,124,59,2637.0,4065.0,3199.0,4015.0,3141.0
1,41,35,64,114,55,54,139,64,2613.0,3972.0,3153.0,3910.0,2755.0
2,60,49,64,115,58,49,145,61,2613.0,3972.0,3153.0,3910.0,2756.0
3,63,51,76,123,53,44,140,59,2613.0,3972.0,3153.0,3910.0,2757.0
4,64,58,96,138,55,44,145,61,2612.0,3972.0,3151.0,3910.0,2758.0
5,65,59,97,135,53,47,145,57,2613.0,3972.0,3152.0,3910.0,2760.0
6,59,56,95,123,49,46,124,50,2612.0,3972.0,3151.0,3911.0,2761.0
7,39,43,95,120,53,48,91,49,2611.0,3972.0,3151.0,3911.0,2762.0
8,33,38,86,113,52,51,91,49,2610.0,3972.0,3152.0,3911.0,2765.0
9,44,46,67,141,59,58,77,50,2611.0,3972.0,3152.0,3910.0,2767.0
10,43,45,55,137,59,58,80,52,2611.0,3972.0,3152.0,3910.0,2774.0
11,44,45,56,136,59,55,78,54,2611.0,3972.0,3152.0,3911.0,2776.0
12,42,46,64,143,50,56,80,50,2612.0,3972.0,3152.0,3911.0,2778.0
13,42,46,64,148,54,54,79,52,2612.0,3972.0,3152.0,3912.0,2792.0
14,34,35,86,119,41,52,81,51,2612.0,3971.0,3151.0,3913.0,2806.0
15,48,40,89,118,38,55,80,51,2613.0,3971.0,3151.0,3913.0,2819.0
16,49,40,89,120,42,55,82,50,2613.0,3972.0,3149.0,3914.0,2832.0
17,48,39,84,110,48,51,84,47,2614.0,3971.0,3145.0,3915.0,2848.0
18,49,40,93,126,44,51,99,46,2615.0,3971.0,3145.0,3915.0,2851.0
19,48,34,71,104,44,44,100,44,2615.0,3971.0,3144.0,3915.0,2854.0
20,31,26,65,99,46,33,98,41,2614.0,3971.0,3143.0,3916.0,2860.0
21,30,25,66,100,44,32,97,40,E,r,r,o,r
22,43,36,64,101,54,52,98,40,2615.0,3971.0,3143.0,3916.0,2863.0
23,45,41,60,99,55,56,108,41,2616.0,3971.0,3143.0,3917.0,2868.0
