,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Thumb,Index,Middle,Ring,Pinkie
0,46,107,103,32,21,15,17,29,2456.0,4046.0,3232.0,4094.0,2813.0
1,42,105,103,30,21,17,19,34,2428.0,4042.0,3037.0,4033.0,2718.0
2,45,106,111,44,25,18,19,37,2428.0,4042.0,3037.0,4033.0,2718.0
3,52,119,113,45,27,19,19,38,2428.0,4042.0,3036.0,4033.0,2719.0
4,54,112,99,44,27,19,20,35,2428.0,4042.0,3036.0,4033.0,2718.0
5,54,105,88,44,27,23,21,37,2428.0,4043.0,3035.0,4033.0,2719.0
6,57,113,93,45,29,22,19,31,2428.0,4043.0,3034.0,4033.0,2720.0
7,59,114,105,40,27,23,19,29,2428.0,4043.0,3034.0,4033.0,2720.0
8,54,106,100,39,25,23,19,30,2428.0,4042.0,3033.0,4033.0,2721.0
9,52,112,131,43,26,22,18,31,2429.0,4042.0,3033.0,4033.0,2721.0
10,54,116,139,44,29,50,22,32,2429.0,4042.0,3034.0,4033.0,2721.0
11,57,128,154,49,27,51,22,33,2429.0,4042.0,3035.0,4033.0,2719.0
12,62,140,150,48,27,77,27,36,2429.0,4043.0,3035.0,4033.0,2719.0
13,65,150,149,53,30,82,27,39,2429.0,4043.0,3036.0,4033.0,2718.0
14,67,150,121,48,29,99,27,42,2429.0,4042.0,3037.0,4033.0,2717.0
15,88,150,116,48,27,108,28,41,2430.0,4042.0,3038.0,4033.0,2717.0
16,109,140,109,51,26,123,31,44,2430.0,4043.0,3038.0,4032.0,2717.0
17,109,125,99,47,26,112,28,44,E,r,r,o,r
18,105,104,99,44,23,131,32,41,2430.0,4042.0,3038.0,4032.0,2716.0
19,105,91,110,50,24,135,36,39,2428.0,4043.0,3039.0,4032.0,2714.0
20,95,88,115,54,40,236,40,37,E,r,r,o,r
21,91,91,96,50,55,268,41,41,2425.0,4043.0,3036.0,4031.0,2710.0
22,107,90,109,56,72,309,47,40,2424.0,4043.0,3031.0,4001.0,2705.0
23,152,97,111,54,78,328,51,42,E,r,r,o,r
24,175,115,104,56,87,349,73,48,2423.0,4042.0,3027.0,3981.0,2706.0
25,201,138,97,54,89,367,100,67,2424.0,4042.0,3022.0,4000.0,2707.0
26,195,143,113,54,102,458,110,64,E,r,r,o,r
27,190,151,118,57,148,487,152,70,2425.0,4042.0,3013.0,4025.0,2707.0
28,164,160,121,60,175,482,159,79,2427.0,4042.0,3007.0,4050.0,2704.0
29,139,150,117,59,177,501,160,75,2428.0,4042.0,3007.0,4063.0,2700.0
30,100,135,116,59,178,465,146,62,2428.0,4042.0,3004.0,4072.0,2694.0
31,97,144,135,66,170,379,138,62,2428.0,4042.0,3000.0,4081.0,2680.0
32,85,147,126,60,132,347,90,54,2428.0,4042.0,2998.0,4083.0,2677.0
33,76,135,161,70,110,387,103,45,2427.0,4042.0,2996.0,4084.0,2676.0
34,88,139,178,73,110,366,100,48,2423.0,4042.0,2996.0,4086.0,2674.0
35,77,147,225,89,118,440,98,43,2421.0,4042.0,3000.0,4088.0,2671.0
36,77,152,227,93,126,565,109,48,2422.0,4042.0,3016.0,4088.0,2668.0
37,82,177,248,100,130,614,111,49,2422.0,4042.0,3016.0,4089.0,2671.0
38,83,184,241,102,153,804,103,47,2422.0,4042.0,3041.0,4091.0,2674.0
