,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Thumb,Index,Middle,Ring,Pinkie
0,80,106,167,58,27,19,22,41,2436.0,4043.0,3150.0,4094.0,2797.0
1,97,106,169,58,26,19,22,45,2398.0,4047.0,3057.0,3986.0,2729.0
2,101,107,169,59,26,17,20,48,2398.0,4047.0,3058.0,3986.0,2728.0
3,97,106,144,48,23,19,21,49,2398.0,4047.0,3058.0,3987.0,2729.0
4,94,114,124,45,23,22,25,50,2398.0,4048.0,3058.0,3987.0,2729.0
5,112,103,114,44,23,23,25,52,2399.0,4047.0,3056.0,3986.0,2729.0
6,105,98,107,42,22,24,26,51,2399.0,4048.0,3056.0,3985.0,2729.0
7,102,102,109,42,24,25,27,46,2399.0,4048.0,3056.0,3986.0,2729.0
8,105,113,109,41,25,23,27,48,2399.0,4048.0,3057.0,3986.0,2727.0
9,103,107,81,37,23,39,26,47,2399.0,4048.0,3057.0,3987.0,2725.0
10,118,119,84,38,25,44,29,49,2400.0,4048.0,3057.0,3988.0,2723.0
11,136,126,88,38,27,46,29,46,2400.0,4048.0,3057.0,3988.0,2720.0
12,166,130,92,36,28,90,36,49,2400.0,4048.0,3057.0,3989.0,2719.0
13,189,122,137,50,29,122,39,45,2400.0,4048.0,3057.0,3988.0,2717.0
14,202,121,142,53,33,122,40,45,2401.0,4048.0,3055.0,3987.0,2715.0
15,203,133,146,55,38,145,42,44,2401.0,4048.0,3054.0,3987.0,2715.0
16,221,130,144,55,47,168,41,47,2402.0,4048.0,3051.0,3985.0,2715.0
17,219,128,133,57,62,184,46,48,E,r,r,o,r
18,214,166,83,45,69,206,53,54,2402.0,4048.0,3047.0,3983.0,2712.0
19,222,163,95,49,72,208,63,59,2403.0,4048.0,3045.0,3984.0,2711.0
20,212,159,98,47,84,223,64,56,2403.0,4048.0,3041.0,3995.0,2709.0
21,190,163,118,52,81,252,64,56,2403.0,4048.0,3039.0,4001.0,2708.0
22,178,163,118,51,72,238,59,54,2404.0,4048.0,3034.0,4010.0,2708.0
23,239,148,120,51,78,278,58,58,2406.0,4047.0,3030.0,4014.0,2707.0
24,244,157,134,52,83,390,52,55,2407.0,4047.0,3020.0,4023.0,2704.0
25,249,149,149,65,95,418,96,63,E,r,r,o,r
26,294,175,188,80,104,425,98,66,2409.0,4046.0,3007.0,4040.0,2692.0
27,295,182,197,82,117,470,103,67,2409.0,4046.0,3001.0,4050.0,2683.0
28,236,174,201,85,135,501,113,64,2411.0,4044.0,2994.0,4064.0,2674.0
29,218,185,200,88,148,544,128,66,2412.0,4041.0,2992.0,4071.0,2670.0
30,203,216,258,96,141,647,106,61,2413.0,4041.0,2991.0,4075.0,2668.0
31,125,196,222,86,174,699,112,58,2414.0,4042.0,2994.0,4078.0,2669.0
32,124,203,234,86,179,712,126,62,2416.0,4042.0,3008.0,4084.0,2670.0
33,135,199,235,85,186,758,125,67,2417.0,4042.0,3040.0,4089.0,2671.0
34,166,201,241,85,186,831,126,72,2419.0,4043.0,3060.0,4090.0,2683.0
35,175,178,177,77,208,937,136,81,2420.0,4043.0,3102.0,4092.0,2690.0
36,174,194,212,78,191,941,168,85,2421.0,4043.0,3102.0,4093.0,2697.0
37,167,215,230,93,207,1096,179,88,2423.0,4044.0,3141.0,4094.0,2712.0
38,170,235,243,101,238,1203,197,84,2424.0,4044.0,3158.0,4094.0,2720.0
39,144,246,259,102,240,1187,192,83,2425.0,4045.0,3182.0,4094.0,2727.0
