,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Thumb,Index,Middle,Ring,Pinkie
0,44,117,135,42,24,20,24,38,2455.0,4046.0,3270.0,4094.0,2763.0
1,42,108,142,46,25,21,25,41,2429.0,4046.0,3080.0,3958.0,2723.0
2,41,114,152,47,26,20,24,42,2429.0,4046.0,3080.0,3959.0,2723.0
3,37,111,153,42,23,22,24,41,2429.0,4045.0,3080.0,3958.0,2724.0
4,39,118,157,44,24,20,24,42,2429.0,4045.0,3080.0,3958.0,2724.0
5,38,114,146,49,24,19,21,40,2430.0,4046.0,3079.0,3958.0,2724.0
6,42,129,155,51,26,18,20,39,2430.0,4046.0,3079.0,3958.0,2725.0
7,42,126,143,51,27,19,20,37,2431.0,4046.0,3079.0,3957.0,2725.0
8,43,113,133,50,26,18,21,37,2431.0,4046.0,3078.0,3956.0,2726.0
9,40,115,125,49,28,22,22,36,2431.0,4046.0,3077.0,3956.0,2726.0
10,42,112,125,50,27,23,20,38,2431.0,4046.0,3077.0,3955.0,2727.0
11,39,94,115,49,25,34,21,38,2431.0,4045.0,3075.0,3955.0,2728.0
12,42,93,124,55,27,46,21,36,2431.0,4046.0,3076.0,3954.0,2728.0
13,39,91,121,57,29,47,20,35,2431.0,4045.0,3075.0,3954.0,2728.0
14,46,87,137,62,27,47,19,41,2432.0,4046.0,3076.0,3954.0,2727.0
15,46,99,134,63,29,71,31,40,2431.0,4046.0,3076.0,3954.0,2727.0
16,50,108,126,62,29,69,33,41,2432.0,4046.0,3076.0,3954.0,2727.0
17,56,120,122,60,26,86,32,43,2432.0,4045.0,3076.0,3955.0,2727.0
18,63,120,122,57,26,98,34,46,2432.0,4045.0,3075.0,3954.0,2727.0
19,61,121,119,54,26,104,37,43,2432.0,4045.0,3075.0,3954.0,2727.0
20,66,131,142,60,25,89,28,42,2432.0,4046.0,3076.0,3954.0,2726.0
21,69,136,151,60,25,110,26,40,2432.0,4046.0,3076.0,3955.0,2725.0
22,63,135,149,61,27,100,27,36,2432.0,4046.0,3076.0,3955.0,2725.0
23,63,141,158,64,25,93,24,35,E,r,r,o,r
24,75,140,166,69,26,89,21,35,2432.0,4046.0,3076.0,3955.0,2726.0
25,93,118,163,64,23,102,25,34,2433.0,4046.0,3075.0,3955.0,2726.0
26,112,109,151,63,27,90,29,39,E,r,r,o,r
27,164,93,148,59,37,105,63,50,2432.0,4046.0,3075.0,3955.0,2728.0
28,191,91,135,56,41,108,72,64,2432.0,4046.0,3075.0,3955.0,2730.0
29,200,105,135,56,48,128,73,68,2432.0,4046.0,3075.0,3956.0,2732.0
30,299,159,145,63,51,126,75,86,2432.0,4045.0,3072.0,3957.0,2733.0
31,310,167,163,64,54,178,77,89,2432.0,4046.0,3068.0,3957.0,2735.0
32,306,183,168,67,71,225,65,91,2431.0,4046.0,3068.0,3957.0,2732.0
33,314,183,176,71,76,297,71,85,2431.0,4045.0,3067.0,3955.0,2731.0
34,311,177,166,68,76,308,76,87,2431.0,4045.0,3066.0,3961.0,2726.0
35,222,141,143,56,81,316,73,73,2431.0,4045.0,3064.0,3970.0,2725.0
36,218,136,133,53,88,316,73,71,2431.0,4045.0,3061.0,3978.0,2720.0
37,190,122,133,52,73,307,63,63,2432.0,4044.0,3058.0,3990.0,2710.0
38,159,144,134,51,67,242,47,62,2434.0,4044.0,3055.0,3994.0,2705.0
39,157,157,128,47,78,239,53,54,2434.0,4042.0,3049.0,4003.0,2691.0
40,150,155,123,51,77,260,64,60,2435.0,4042.0,3044.0,4011.0,2683.0
41,162,180,139,63,79,484,77,64,2435.0,4042.0,3041.0,4016.0,2679.0
42,179,180,147,72,125,503,96,73,2437.0,4041.0,3039.0,4022.0,2676.0
43,176,173,166,81,143,558,107,75,2437.0,4041.0,3033.0,4040.0,2671.0
44,175,171,173,84,140,623,113,77,E,r,r,o,r
45,190,181,185,88,149,635,112,73,2438.0,4041.0,3034.0,4054.0,2673.0
46,172,160,165,89,150,485,127,78,2440.0,4042.0,3041.0,4064.0,2678.0
47,163,166,156,83,134,545,118,71,2440.0,4042.0,3047.0,4068.0,2681.0
48,160,177,149,73,166,684,116,72,2441.0,4042.0,3063.0,4076.0,2685.0
49,156,199,172,72,177,669,117,72,E,r,r,o,r
50,148,209,177,71,186,786,147,76,2444.0,4042.0,3101.0,4085.0,2689.0
51,149,228,189,70,202,916,155,67,E,r,r,o,r
52,152,235,209,93,236,1012,182,71,2444.0,4043.0,3132.0,4089.0,2690.0
53,178,236,201,99,228,928,180,68,2445.0,4043.0,3147.0,4090.0,2694.0
54,178,239,241,114,227,939,185,70,2445.0,4043.0,3175.0,4093.0,2696.0
55,174,234,237,115,239,856,168,62,2447.0,4044.0,3184.0,4094.0,2701.0
56,164,219,248,114,237,918,162,63,2447.0,4044.0,3194.0,4094.0,2705.0
57,156,248,285,112,212,914,137,58,2447.0,4045.0,3210.0,4094.0,2709.0
58,121,288,351,139,257,1068,165,62,E,r,r,o,r
59,142,291,357,154,280,1071,188,70,2447.0,4045.0,3235.0,4094.0,2722.0
60,163,299,356,153,258,1069,181,73,2448.0,4045.0,3245.0,4094.0,2728.0
61,167,349,390,176,279,1017,181,70,2448.0,4045.0,3253.0,4094.0,2732.0
62,178,324,359,170,283,979,184,70,2447.0,4045.0,3263.0,4094.0,2739.0
63,190,301,298,148,229,905,172,67,2447.0,4045.0,3269.0,4094.0,2742.0
64,183,294,300,139,211,999,149,60,2447.0,4045.0,3269.0,4094.0,2742.0
65,155,284,307,140,221,1016,160,58,2446.0,4046.0,3272.0,4094.0,2742.0
66,157,223,247,108,195,981,151,58,2446.0,4046.0,3273.0,4094.0,2744.0
67,168,243,280,117,179,945,175,71,2446.0,4046.0,3273.0,4094.0,2745.0
68,164,259,291,121,176,862,178,74,2446.0,4046.0,3276.0,4094.0,2745.0
69,151,245,236,98,160,706,167,72,2447.0,4046.0,3278.0,4094.0,2746.0
70,153,251,253,108,176,852,184,72,2447.0,4046.0,3280.0,4094.0,2745.0
71,142,256,271,108,164,794,183,70,2447.0,4046.0,3280.0,4094.0,2744.0
72,108,236,236,96,164,720,147,55,2448.0,4046.0,3281.0,4094.0,2744.0
73,96,204,217,89,160,722,140,51,2447.0,4046.0,3281.0,4094.0,2744.0
74,105,196,220,93,160,778,138,46,2448.0,4046.0,3281.0,4094.0,2745.0
75,102,178,183,81,142,601,106,43,2448.0,4046.0,3280.0,4094.0,2744.0
76,105,161,155,80,149,684,106,46,2448.0,4046.0,3279.0,4094.0,2744.0
77,105,165,161,75,137,717,113,47,2448.0,4045.0,3279.0,4094.0,2744.0
78,108,204,201,73,134,693,97,43,2448.0,4046.0,3277.0,4094.0,2743.0
79,99,212,198,72,142,661,106,49,2449.0,4046.0,3277.0,4094.0,2744.0
80,94,211,207,72,135,658,105,50,2448.0,4045.0,3275.0,4094.0,2744.0
81,80,220,221,71,156,654,106,50,2449.0,4046.0,3274.0,4094.0,2745.0
82,84,225,229,75,154,654,111,53,E,r,r,o,r
83,76,189,207,80,157,674,116,52,2448.0,4046.0,3275.0,4094.0,2746.0
84,77,192,230,90,144,639,106,51,2448.0,4046.0,3276.0,4094.0,2746.0
85,78,210,236,86,138,684,102,51,2449.0,4046.0,3276.0,4094.0,2747.0
86,90,248,242,95,107,624,94,50,2449.0,4045.0,3276.0,4094.0,2747.0
87,81,253,239,93,130,765,91,47,2449.0,4046.0,3276.0,4094.0,2747.0
88,80,258,231,87,141,806,93,48,2449.0,4046.0,3276.0,4094.0,2747.0
89,77,253,219,70,142,863,95,44,2449.0,4046.0,3277.0,4094.0,2748.0
