,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Thumb,Index,Middle,Ring,Pinkie
0,79,64,52,56,35,30,78,50,2727.0,4081.0,3714.0,4065.0,3325.0
1,71,54,52,56,38,28,102,49,2679.0,3974.0,3102.0,3895.0,2844.0
2,68,52,54,56,41,31,108,45,E,r,r,o,r
3,88,59,54,52,41,32,108,50,2680.0,3974.0,3101.0,3894.0,2844.0
4,88,85,47,48,40,33,114,47,2680.0,3974.0,3101.0,3894.0,2844.0
5,94,88,41,47,42,41,124,49,2680.0,3974.0,3101.0,3894.0,2844.0
6,93,88,44,49,33,43,111,52,2680.0,3974.0,3100.0,3894.0,2844.0
7,98,92,41,46,35,44,105,51,2680.0,3974.0,3100.0,3894.0,2844.0
8,78,86,40,45,36,43,106,45,E,r,r,o,r
9,87,69,38,46,36,50,112,43,2680.0,3974.0,3100.0,3893.0,2844.0
10,73,65,34,46,35,46,97,43,2680.0,3974.0,3099.0,3893.0,2844.0
11,76,77,33,54,33,43,85,41,2680.0,3974.0,3099.0,3893.0,2844.0
12,69,76,31,56,37,40,86,39,2680.0,3974.0,3099.0,3893.0,2844.0
13,70,77,29,56,38,41,96,45,2680.0,3973.0,3099.0,3893.0,2844.0
14,70,77,33,52,37,36,90,46,2679.0,3974.0,3099.0,3893.0,2844.0
15,68,71,33,49,36,32,82,44,2680.0,3974.0,3099.0,3893.0,2844.0
16,62,53,30,41,39,37,93,56,2680.0,3974.0,3100.0,3893.0,2844.0
17,64,50,33,36,29,38,91,57,2680.0,3973.0,3099.0,3893.0,2844.0
18,65,50,32,34,35,37,93,53,2680.0,3974.0,3099.0,3893.0,2843.0
19,48,36,25,32,39,37,91,52,2680.0,3974.0,3099.0,3893.0,2843.0
20,64,47,25,31,39,38,90,51,2680.0,3974.0,3099.0,3893.0,2843.0
21,68,66,31,29,39,42,91,49,2679.0,3973.0,3100.0,3893.0,2843.0
22,70,66,28,27,38,43,97,53,2679.0,3973.0,3100.0,3893.0,2843.0
23,73,73,30,29,31,44,87,56,2679.0,3973.0,3100.0,3892.0,2843.0
24,80,87,32,30,27,47,102,57,E,r,r,o,r
25,69,81,30,30,27,46,105,58,2680.0,3973.0,3100.0,3893.0,2843.0
26,63,67,25,28,32,39,97,46,E,r,r,o,r
27,54,64,26,30,37,44,127,49,2681.0,3973.0,3100.0,3892.0,2842.0
28,52,53,24,29,38,53,158,98,2680.0,3972.0,3099.0,3892.0,2841.0
29,62,47,27,28,39,61,184,116,E,r,r,o,r
30,61,48,36,42,47,66,195,121,2680.0,3971.0,3087.0,3887.0,2837.0
31,67,58,54,59,51,76,212,129,2681.0,3972.0,3073.0,3883.0,2829.0
32,81,69,75,82,60,84,201,142,E,r,r,o,r
33,121,103,82,84,62,86,197,125,2685.0,3981.0,3071.0,3879.0,2823.0
34,117,104,93,95,65,85,172,113,2688.0,3986.0,3065.0,3872.0,2816.0
35,123,108,115,110,65,89,163,122,E,r,r,o,r
36,129,147,117,109,69,101,177,122,2690.0,4008.0,3061.0,3866.0,2812.0
37,132,156,122,110,69,125,279,188,2696.0,4040.0,3077.0,3862.0,2814.0
38,128,238,142,116,71,134,312,224,2699.0,4047.0,3091.0,3861.0,2814.0
39,151,248,147,123,80,141,351,274,2701.0,4052.0,3091.0,3860.0,2815.0
40,156,250,137,109,80,155,400,293,2710.0,4058.0,3101.0,3858.0,2811.0
41,155,235,135,108,75,168,420,301,2710.0,4058.0,3101.0,3857.0,2812.0
42,191,236,139,106,71,148,401,316,2737.0,4060.0,3105.0,3855.0,2814.0
43,181,186,155,126,83,148,390,306,2737.0,4060.0,3107.0,3854.0,2816.0
44,188,192,170,124,94,172,390,305,2744.0,4061.0,3107.0,3854.0,2816.0
45,199,194,187,132,99,172,354,301,2757.0,4061.0,3107.0,3853.0,2816.0
46,207,233,194,130,103,166,361,305,2763.0,4061.0,3107.0,3853.0,2813.0
47,180,238,187,130,108,189,345,256,2767.0,4061.0,3107.0,3853.0,2811.0
48,177,203,177,120,102,184,323,250,2770.0,4061.0,3106.0,3851.0,2810.0
49,180,238,178,115,85,154,290,215,2769.0,4061.0,3105.0,3851.0,2806.0
50,164,265,156,103,76,139,295,195,E,r,r,o,r
51,163,236,147,101,70,125,265,185,2771.0,4061.0,3104.0,3852.0,2801.0
52,155,224,150,94,63,92,247,173,2770.0,4061.0,3103.0,3852.0,2800.0
53,160,282,144,82,55,91,291,166,2769.0,4061.0,3101.0,3852.0,2799.0
54,130,253,116,85,52,90,283,152,2769.0,4061.0,3101.0,3852.0,2798.0
55,140,239,115,86,55,105,298,153,2769.0,4061.0,3100.0,3851.0,2796.0
56,135,238,115,88,56,104,301,150,2767.0,4061.0,3098.0,3851.0,2793.0
57,139,264,105,85,49,97,286,157,2766.0,4061.0,3097.0,3851.0,2793.0
58,147,227,85,90,46,103,265,141,2765.0,4061.0,3095.0,3851.0,2790.0
59,146,221,77,77,43,102,303,178,2765.0,4061.0,3095.0,3851.0,2788.0
60,131,223,79,77,43,90,277,178,E,r,r,o,r
61,129,222,88,86,45,97,306,186,2764.0,4060.0,3094.0,3851.0,2789.0
62,131,216,93,87,48,104,329,178,2762.0,4061.0,3094.0,3851.0,2789.0
63,115,200,98,74,52,102,342,192,2761.0,4060.0,3092.0,3850.0,2787.0
64,121,221,102,74,54,105,331,172,E,r,r,o,r
65,127,219,107,73,51,103,326,171,2760.0,4061.0,3092.0,3850.0,2786.0
66,134,247,101,61,47,98,301,157,2761.0,4061.0,3091.0,3850.0,2785.0
67,141,239,105,64,48,89,281,162,2760.0,4060.0,3091.0,3850.0,2785.0
68,154,242,100,71,46,91,256,155,2759.0,4060.0,3091.0,3850.0,2784.0
69,146,221,105,72,49,101,245,153,2759.0,4061.0,3090.0,3850.0,2784.0
70,160,209,99,71,48,104,258,170,2759.0,4061.0,3090.0,3850.0,2784.0
71,207,199,104,75,50,101,239,185,2757.0,4060.0,3089.0,3850.0,2785.0
72,198,183,99,69,47,98,231,183,2756.0,4060.0,3089.0,3849.0,2786.0
73,190,162,91,63,43,91,245,181,2755.0,4061.0,3088.0,3849.0,2787.0
74,195,200,84,59,36,75,235,181,2755.0,4061.0,3087.0,3849.0,2787.0
75,192,208,87,59,34,66,213,162,2753.0,4060.0,3086.0,3849.0,2787.0
76,144,184,85,58,31,55,202,156,2750.0,4060.0,3086.0,3850.0,2787.0
77,147,209,106,57,33,82,265,163,2749.0,4061.0,3084.0,3850.0,2788.0
78,141,212,109,52,34,94,273,160,2749.0,4061.0,3083.0,3850.0,2788.0
79,135,203,109,53,37,97,285,138,2747.0,4061.0,3082.0,3850.0,2789.0
80,140,234,103,54,39,99,300,154,E,r,r,o,r
81,125,231,92,46,37,106,322,135,2745.0,4061.0,3081.0,3850.0,2789.0
82,120,247,61,45,39,90,300,149,2743.0,4061.0,3081.0,3850.0,2789.0
83,131,260,61,48,41,74,269,148,E,r,r,o,r
84,125,232,54,55,42,78,243,149,2742.0,4060.0,3080.0,3850.0,2789.0
85,102,190,57,55,40,75,232,129,2741.0,4060.0,3080.0,3850.0,2790.0
86,103,222,67,60,42,69,190,136,2740.0,4060.0,3079.0,3850.0,2790.0
87,105,187,84,66,43,71,135,101,2739.0,4060.0,3079.0,3850.0,2789.0
88,99,176,86,63,40,70,131,96,2738.0,4061.0,3079.0,3850.0,2789.0
