,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Thumb,Index,Middle,Ring,Pinkie
0,198,88,24,19,17,20,31,59,2459.0,4094.0,2965.0,3944.0,2840.0
1,189,74,23,20,18,24,46,59,2403.0,4080.0,2916.0,3918.0,2837.0
2,171,57,21,16,16,24,46,55,2404.0,4079.0,2916.0,3918.0,2837.0
3,120,57,21,16,14,22,45,43,E,r,r,o,r
4,117,60,21,17,16,22,45,41,2404.0,4078.0,2916.0,3918.0,2837.0
5,115,56,20,18,15,22,44,39,2403.0,4078.0,2915.0,3918.0,2836.0
6,117,52,20,18,15,16,28,34,2404.0,4078.0,2916.0,3918.0,2836.0
7,119,54,20,18,15,16,24,33,2404.0,4078.0,2915.0,3918.0,2836.0
8,112,45,19,19,17,18,24,34,2404.0,4078.0,2916.0,3918.0,2837.0
9,105,39,20,19,15,17,24,30,E,r,r,o,r
10,102,36,19,20,15,18,23,30,2404.0,4077.0,2915.0,3918.0,2837.0
11,96,37,19,18,14,18,19,31,2404.0,4077.0,2916.0,3918.0,2836.0
12,100,34,16,17,14,18,19,30,E,r,r,o,r
13,90,35,19,16,13,16,19,32,2404.0,4077.0,2916.0,3918.0,2836.0
14,88,40,19,18,11,17,19,38,2404.0,4077.0,2916.0,3918.0,2836.0
15,90,38,19,17,13,16,18,35,E,r,r,o,r
16,91,37,20,18,16,16,20,36,2404.0,4077.0,2916.0,3919.0,2836.0
17,88,37,20,17,17,14,22,39,2404.0,4077.0,2916.0,3918.0,2836.0
18,98,38,18,17,18,16,22,38,2404.0,4077.0,2916.0,3918.0,2836.0
19,92,36,17,15,19,16,23,35,2404.0,4077.0,2916.0,3918.0,2837.0
20,92,37,17,15,19,16,23,35,2404.0,4077.0,2916.0,3918.0,2837.0
21,89,37,18,17,18,16,21,34,2404.0,4077.0,2916.0,3918.0,2836.0
22,98,43,20,19,17,17,19,33,2405.0,4077.0,2916.0,3918.0,2837.0
23,95,42,19,19,16,17,20,35,2404.0,4077.0,2916.0,3918.0,2836.0
24,95,47,21,19,17,15,18,35,2404.0,4077.0,2916.0,3918.0,2836.0
25,97,48,22,20,17,16,20,34,2404.0,4077.0,2915.0,3918.0,2836.0
26,95,47,23,18,17,16,24,33,2404.0,4076.0,2916.0,3918.0,2837.0
27,96,45,26,17,19,17,23,33,2404.0,4076.0,2916.0,3918.0,2836.0
28,96,45,27,19,21,16,22,36,2404.0,4077.0,2915.0,3918.0,2837.0
29,98,41,27,20,20,17,23,36,2405.0,4076.0,2915.0,3918.0,2837.0
30,90,45,27,20,20,16,25,38,2404.0,4076.0,2915.0,3918.0,2836.0
31,91,49,25,20,20,16,22,38,2404.0,4076.0,2916.0,3918.0,2836.0
32,89,53,20,21,19,17,26,37,2405.0,4076.0,2916.0,3918.0,2837.0
33,85,53,18,19,17,19,26,38,2405.0,4076.0,2916.0,3918.0,2836.0
34,122,58,17,19,16,19,28,44,2405.0,4076.0,2915.0,3918.0,2836.0
35,124,55,22,19,17,19,36,47,2405.0,4072.0,2915.0,3918.0,2836.0
36,126,58,25,20,19,20,50,48,E,r,r,o,r
37,149,68,30,20,18,18,51,54,2405.0,4060.0,2915.0,3918.0,2836.0
38,148,74,32,21,21,16,53,52,2405.0,4060.0,2915.0,3918.0,2835.0
39,135,75,33,22,22,16,53,50,2406.0,4059.0,2915.0,3919.0,2835.0
40,141,87,31,21,20,16,47,50,2406.0,4059.0,2916.0,3919.0,2834.0
41,140,85,30,21,18,14,33,49,2406.0,4059.0,2916.0,3920.0,2834.0
42,119,83,26,21,18,15,30,44,E,r,r,o,r
43,140,93,25,20,17,17,25,45,2406.0,4057.0,2917.0,3920.0,2834.0
44,130,89,24,19,16,15,22,44,2407.0,4054.0,2917.0,3919.0,2834.0
45,126,89,23,19,18,16,23,42,2407.0,4053.0,2917.0,3920.0,2833.0
46,127,93,25,20,17,16,22,45,2407.0,4052.0,2916.0,3919.0,2834.0
47,147,102,25,22,20,16,23,47,E,r,r,o,r
48,131,92,24,22,19,16,22,46,2407.0,4049.0,2917.0,3919.0,2833.0
49,154,113,26,22,19,18,21,42,2408.0,4045.0,2916.0,3918.0,2833.0
50,155,113,30,23,18,19,20,46,E,r,r,o,r
51,175,162,31,22,19,19,21,46,2409.0,4045.0,2916.0,3918.0,2833.0
52,152,156,31,19,20,21,21,46,2409.0,4045.0,2916.0,3918.0,2833.0
53,158,158,31,19,21,22,20,45,2409.0,4045.0,2916.0,3919.0,2834.0
54,138,143,30,20,21,24,23,47,2409.0,4048.0,2915.0,3918.0,2834.0
55,150,144,29,22,21,23,23,43,2410.0,4054.0,2915.0,3919.0,2833.0
56,136,87,27,22,21,24,24,46,2410.0,4054.0,2915.0,3918.0,2833.0
57,140,96,28,22,19,22,24,45,2411.0,4059.0,2915.0,3919.0,2833.0
58,132,90,29,21,17,23,25,46,2412.0,4062.0,2917.0,3919.0,2833.0
59,135,88,29,21,16,20,23,48,2412.0,4063.0,2917.0,3919.0,2832.0
60,116,81,27,18,17,20,24,51,2412.0,4065.0,2917.0,3919.0,2833.0
61,111,85,29,20,16,19,22,50,2413.0,4070.0,2919.0,3919.0,2833.0
62,127,92,30,21,16,19,25,50,2414.0,4070.0,2919.0,3919.0,2832.0
63,132,97,28,21,17,17,26,50,2415.0,4072.0,2920.0,3920.0,2832.0
64,125,99,28,19,18,19,26,45,2416.0,4074.0,2921.0,3920.0,2832.0
65,148,109,29,20,18,19,26,44,2416.0,4074.0,2921.0,3920.0,2832.0
66,142,107,26,19,19,18,25,39,2416.0,4075.0,2922.0,3921.0,2833.0
