,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Thumb,Index,Middle,Ring,Pinkie
0,82,75,35,23,47,82,24,39,2445.0,4039.0,2971.0,3868.0,2728.0
1,74,67,30,23,62,104,24,37,2442.0,4038.0,2979.0,3872.0,2727.0
2,82,70,34,21,62,108,25,44,2442.0,4038.0,2979.0,3872.0,2727.0
3,82,76,40,24,54,107,27,48,2443.0,4038.0,2979.0,3872.0,2727.0
4,80,78,40,25,56,107,29,49,2442.0,4038.0,2979.0,3872.0,2727.0
5,75,75,39,25,55,85,29,47,2443.0,4038.0,2979.0,3872.0,2728.0
6,83,80,41,24,50,65,28,47,2443.0,4038.0,2979.0,3872.0,2728.0
7,99,85,39,26,58,84,33,49,2444.0,4038.0,2979.0,3871.0,2728.0
8,103,75,31,25,74,92,32,43,2442.0,4038.0,2979.0,3871.0,2728.0
9,110,71,32,24,72,89,28,43,2442.0,4038.0,2979.0,3872.0,2728.0
10,112,69,34,26,71,88,30,48,2441.0,4038.0,2979.0,3871.0,2728.0
11,118,84,40,27,63,83,30,54,2440.0,4038.0,2979.0,3871.0,2728.0
12,112,83,42,26,57,60,24,48,2440.0,4038.0,2978.0,3872.0,2728.0
13,123,94,43,25,45,58,27,55,2440.0,4038.0,2979.0,3872.0,2728.0
14,117,95,42,26,47,57,27,55,2440.0,4038.0,2978.0,3871.0,2728.0
15,126,109,41,27,47,58,36,54,2440.0,4038.0,2979.0,3871.0,2728.0
16,116,94,35,29,47,63,51,49,E,r,r,o,r
17,106,91,35,32,49,75,52,47,2440.0,4038.0,2979.0,3872.0,2728.0
18,89,86,35,31,38,71,55,42,2441.0,4038.0,2979.0,3871.0,2728.0
19,92,88,34,29,33,70,54,44,2440.0,4038.0,2979.0,3871.0,2728.0
20,74,73,33,28,32,70,58,42,2440.0,4038.0,2979.0,3872.0,2729.0
21,72,77,32,26,41,67,47,44,2440.0,4038.0,2979.0,3871.0,2728.0
22,71,73,33,25,41,58,47,49,2441.0,4038.0,2979.0,3871.0,2728.0
23,72,66,35,27,42,57,44,51,2441.0,4038.0,2979.0,3871.0,2729.0
24,69,62,41,29,45,62,45,50,2441.0,4038.0,2978.0,3871.0,2728.0
25,72,61,42,30,50,66,31,50,E,r,r,o,r
26,73,58,42,30,53,73,30,49,2441.0,4038.0,2979.0,3872.0,2728.0
27,74,58,41,28,52,75,29,47,2442.0,4038.0,2979.0,3872.0,2728.0
28,67,54,37,27,51,73,42,48,2441.0,4038.0,2978.0,3871.0,2728.0
29,71,62,35,30,59,76,44,55,2442.0,4038.0,2978.0,3872.0,2728.0
30,64,60,34,30,56,76,49,55,2441.0,4038.0,2979.0,3871.0,2728.0
31,71,68,37,32,50,71,65,64,2442.0,4038.0,2978.0,3872.0,2728.0
32,78,72,34,30,50,79,66,65,2441.0,4038.0,2978.0,3871.0,2728.0
33,78,74,35,31,64,92,57,61,2441.0,4038.0,2979.0,3871.0,2728.0
34,76,75,36,29,56,90,69,57,2441.0,4038.0,2978.0,3871.0,2728.0
35,87,81,34,26,55,86,65,55,E,r,r,o,r
36,85,82,37,28,54,83,50,45,2441.0,4038.0,2978.0,3871.0,2728.0
37,77,80,46,32,54,68,56,44,2441.0,4038.0,2978.0,3871.0,2728.0
38,75,78,47,32,48,67,63,46,2442.0,4038.0,2978.0,3871.0,2728.0
39,96,76,45,32,50,63,50,49,2442.0,4038.0,2978.0,3871.0,2728.0
40,88,71,47,34,53,67,51,53,2441.0,4038.0,2978.0,3871.0,2728.0
41,87,70,45,33,55,68,51,51,2442.0,4038.0,2978.0,3871.0,2728.0
42,106,82,38,30,53,70,45,52,2442.0,4038.0,2978.0,3871.0,2728.0
43,113,89,39,32,52,61,39,51,2442.0,4038.0,2978.0,3871.0,2728.0
44,100,85,40,30,53,80,81,49,2441.0,4038.0,2978.0,3871.0,2728.0
45,102,85,39,29,50,82,83,46,2441.0,4038.0,2978.0,3871.0,2728.0
46,107,83,39,26,47,91,84,47,2440.0,4038.0,2978.0,3872.0,2728.0
47,85,69,38,28,48,89,84,45,2440.0,4038.0,2978.0,3872.0,2727.0
48,91,83,42,26,56,89,83,46,2440.0,4038.0,2978.0,3873.0,2728.0
49,85,84,39,27,53,75,43,39,2440.0,4038.0,2978.0,3872.0,2728.0
50,91,83,38,28,53,82,56,41,2440.0,4038.0,2978.0,3872.0,2728.0
51,83,83,36,27,52,71,56,45,2441.0,4038.0,2978.0,3872.0,2728.0
52,85,79,36,24,52,72,56,43,2440.0,4038.0,2978.0,3873.0,2728.0
53,71,56,31,22,27,62,56,43,2440.0,4038.0,2978.0,3873.0,2728.0
54,73,62,31,21,27,57,55,44,2440.0,4038.0,2978.0,3873.0,2728.0
55,62,59,30,19,24,33,36,43,E,r,r,o,r
56,73,62,29,21,20,30,30,37,2440.0,4038.0,2978.0,3873.0,2728.0
57,74,68,27,22,20,26,28,37,E,r,r,o,r
58,84,80,24,23,24,33,24,37,2441.0,4038.0,2978.0,3873.0,2729.0
59,81,77,25,22,36,48,23,37,2441.0,4038.0,2978.0,3873.0,2729.0
60,80,75,27,25,51,90,46,34,2441.0,4038.0,2978.0,3873.0,2729.0
61,74,73,28,26,55,100,62,46,2441.0,4038.0,2978.0,3873.0,2730.0
62,70,69,30,26,56,102,63,45,2441.0,4038.0,2978.0,3873.0,2730.0
63,55,58,31,24,64,110,65,43,2440.0,4038.0,2978.0,3873.0,2730.0
64,59,55,31,25,61,106,66,48,E,r,r,o,r
65,81,73,31,24,52,88,57,57,2440.0,4038.0,2978.0,3873.0,2729.0
66,83,81,36,21,51,83,74,55,E,r,r,o,r
67,99,95,40,24,63,88,76,59,2441.0,4038.0,2978.0,3874.0,2729.0
68,104,105,43,28,55,85,78,62,2440.0,4038.0,2978.0,3874.0,2729.0
69,106,106,45,27,54,87,79,62,2441.0,4038.0,2978.0,3874.0,2729.0
70,95,97,43,28,51,73,78,56,E,r,r,o,r
71,98,97,42,30,50,68,64,58,2442.0,4038.0,2978.0,3874.0,2730.0
72,86,87,40,29,36,71,65,55,2441.0,4038.0,2978.0,3874.0,2729.0
73,77,73,36,27,37,64,75,54,2442.0,4038.0,2978.0,3874.0,2729.0
74,71,69,35,27,45,60,83,50,2443.0,4038.0,2978.0,3874.0,2729.0
75,84,71,38,30,47,61,82,57,2443.0,4038.0,2978.0,3874.0,2729.0
76,79,58,34,28,47,60,73,51,2443.0,4038.0,2978.0,3874.0,2729.0
77,74,50,32,28,46,63,68,53,2443.0,4038.0,2977.0,3874.0,2729.0
78,74,45,32,28,42,59,54,53,2443.0,4038.0,2978.0,3874.0,2729.0
79,74,47,32,27,35,64,49,53,2443.0,4038.0,2977.0,3874.0,2729.0
80,63,50,31,24,43,64,48,46,2443.0,4038.0,2977.0,3874.0,2729.0
81,63,53,33,26,43,71,43,45,2443.0,4038.0,2978.0,3874.0,2729.0
82,69,55,33,25,41,55,44,46,2443.0,4038.0,2978.0,3874.0,2729.0
83,74,63,38,28,46,59,43,50,2442.0,4038.0,2978.0,3874.0,2729.0
84,79,68,41,30,44,54,32,49,2441.0,4038.0,2978.0,3874.0,2729.0
85,90,85,45,31,37,55,46,52,2441.0,4038.0,2978.0,3874.0,2729.0
86,88,85,45,30,35,47,64,54,2441.0,4038.0,2978.0,3874.0,2729.0
87,86,84,47,31,50,56,74,54,2441.0,4038.0,2978.0,3874.0,2729.0
88,82,80,48,30,46,52,77,51,2441.0,4038.0,2978.0,3874.0,2729.0
89,77,75,44,28,46,50,77,51,2441.0,4038.0,2978.0,3875.0,2729.0
90,59,52,40,25,43,49,72,46,2440.0,4038.0,2978.0,3875.0,2729.0
91,60,51,41,28,45,48,57,44,2441.0,4038.0,2978.0,3875.0,2729.0
92,58,53,38,26,30,39,48,41,2440.0,4038.0,2978.0,3875.0,2729.0
93,58,50,32,24,41,42,46,41,2441.0,4038.0,2978.0,3875.0,2729.0
94,57,51,32,27,55,69,61,44,2441.0,4038.0,2978.0,3875.0,2729.0
95,57,48,32,30,58,70,58,44,2441.0,4038.0,2978.0,3876.0,2729.0
96,61,56,32,28,57,72,63,43,2441.0,4038.0,2978.0,3876.0,2729.0
97,66,59,35,28,60,72,67,47,2441.0,4038.0,2978.0,3876.0,2729.0
98,66,60,34,29,55,73,66,45,2441.0,4038.0,2978.0,3876.0,2730.0
99,73,62,33,27,42,57,53,52,2441.0,4038.0,2978.0,3876.0,2730.0
100,70,65,33,25,50,70,53,53,2440.0,4038.0,2977.0,3877.0,2729.0
101,62,58,31,25,50,73,49,52,2440.0,4038.0,2978.0,3876.0,2729.0
102,60,57,33,26,47,75,41,51,2440.0,4038.0,2978.0,3877.0,2729.0
103,61,58,34,25,47,74,48,52,2441.0,4038.0,2978.0,3877.0,2730.0
104,61,58,35,27,47,66,50,50,2440.0,4038.0,2978.0,3877.0,2729.0
105,63,59,34,29,41,57,66,52,E,r,r,o,r
106,62,55,34,27,42,53,65,54,2440.0,4038.0,2977.0,3877.0,2729.0
107,57,52,33,26,41,47,64,51,2440.0,4038.0,2978.0,3877.0,2729.0
108,56,57,34,27,38,50,61,51,2441.0,4038.0,2977.0,3877.0,2729.0
109,53,55,32,27,38,54,74,46,2441.0,4038.0,2977.0,3877.0,2729.0
110,51,55,35,25,36,52,70,43,2442.0,4038.0,2977.0,3877.0,2730.0
111,55,60,36,26,37,58,73,43,2441.0,4038.0,2977.0,3877.0,2729.0
112,57,62,35,26,45,60,73,46,2441.0,4038.0,2977.0,3877.0,2729.0
113,59,56,34,25,46,58,75,45,2442.0,4038.0,2977.0,3877.0,2729.0
114,61,60,37,26,46,58,88,49,2441.0,4038.0,2978.0,3878.0,2730.0
115,62,55,35,29,41,58,84,53,2441.0,4038.0,2978.0,3878.0,2730.0
116,59,51,34,29,47,59,84,53,2442.0,4038.0,2977.0,3878.0,2730.0
117,68,51,34,30,42,68,90,58,2441.0,4038.0,2978.0,3878.0,2730.0
118,73,60,34,30,43,67,94,59,2441.0,4038.0,2978.0,3878.0,2730.0
119,71,61,32,28,43,65,81,55,2441.0,4038.0,2977.0,3878.0,2730.0
120,70,60,33,25,42,61,78,52,2441.0,4038.0,2978.0,3878.0,2730.0
121,71,61,35,27,49,66,84,52,2441.0,4038.0,2978.0,3878.0,2730.0
122,61,61,35,25,60,80,90,43,2441.0,4038.0,2978.0,3878.0,2729.0
123,54,52,37,25,60,82,87,48,2441.0,4038.0,2978.0,3878.0,2729.0
124,51,50,37,27,60,81,102,48,2441.0,4038.0,2978.0,3878.0,2729.0
125,54,51,36,27,62,81,103,46,2441.0,4038.0,2978.0,3877.0,2729.0
126,51,49,35,26,51,77,100,47,2441.0,4038.0,2978.0,3878.0,2729.0
127,55,52,38,27,35,48,90,47,2441.0,4038.0,2978.0,3878.0,2729.0
128,55,54,34,27,32,48,107,41,2441.0,4038.0,2978.0,3878.0,2729.0
129,60,55,35,26,31,58,86,45,2441.0,4038.0,2978.0,3878.0,2729.0
130,57,56,35,27,42,96,87,49,2441.0,4038.0,2978.0,3878.0,2729.0
131,57,57,35,28,43,99,93,46,E,r,r,o,r
132,58,59,34,29,42,99,98,49,2442.0,4038.0,2978.0,3878.0,2729.0
133,58,61,38,30,43,98,77,51,2442.0,4038.0,2978.0,3878.0,2729.0
134,59,63,38,29,42,92,76,48,E,r,r,o,r
135,62,68,40,30,29,51,73,46,2442.0,4038.0,2978.0,3878.0,2729.0
136,65,68,42,31,44,62,67,53,2442.0,4038.0,2978.0,3878.0,2729.0
137,64,64,40,30,45,64,60,52,2443.0,4038.0,2978.0,3878.0,2729.0
138,70,63,40,30,46,75,61,51,2443.0,4038.0,2978.0,3878.0,2729.0
139,73,64,42,31,48,77,60,60,2443.0,4038.0,2978.0,3878.0,2729.0
140,74,60,43,30,48,84,79,63,E,r,r,o,r
141,72,59,39,27,34,71,72,58,2443.0,4038.0,2978.0,3878.0,2729.0
142,81,66,40,30,35,72,71,61,2442.0,4038.0,2978.0,3878.0,2729.0
143,81,63,39,33,48,66,72,66,2443.0,4038.0,2978.0,3878.0,2729.0
144,73,59,42,34,48,67,85,57,2442.0,4038.0,2978.0,3878.0,2729.0
145,70,63,44,37,50,64,76,55,2443.0,4038.0,2978.0,3878.0,2729.0
146,71,65,46,39,50,68,98,58,2443.0,4038.0,2978.0,3878.0,2729.0
147,68,67,47,39,54,71,112,63,2443.0,4038.0,2978.0,3878.0,2729.0
148,64,71,45,35,48,71,111,60,2442.0,4038.0,2977.0,3878.0,2729.0
149,65,71,41,33,48,73,105,61,2442.0,4038.0,2977.0,3878.0,2728.0
