,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Thumb,Index,Middle,Ring,Pinkie
0,27,18,14,14,17,24,42,29,2475.0,3955.0,2799.0,3858.0,2673.0
1,27,17,13,15,20,29,48,30,2475.0,3960.0,2818.0,3845.0,2599.0
2,26,18,17,13,20,29,49,34,2475.0,3960.0,2818.0,3845.0,2599.0
3,27,20,17,15,21,30,46,34,2475.0,3960.0,2818.0,3845.0,2599.0
4,33,20,17,16,22,31,49,45,2475.0,3960.0,2818.0,3845.0,2600.0
5,30,19,16,16,23,33,54,54,2475.0,3960.0,2818.0,3845.0,2600.0
6,32,19,17,17,21,29,54,59,2475.0,3960.0,2818.0,3845.0,2599.0
7,32,17,16,19,21,29,53,56,2475.0,3960.0,2819.0,3845.0,2600.0
8,32,16,15,18,21,28,55,59,E,r,r,o,r
9,27,15,16,17,19,25,57,51,2475.0,3960.0,2818.0,3845.0,2600.0
10,28,17,16,19,18,23,63,50,2475.0,3960.0,2819.0,3845.0,2601.0
11,24,18,16,19,18,23,69,53,2475.0,3960.0,2818.0,3845.0,2601.0
12,25,20,15,17,18,28,77,59,2475.0,3960.0,2819.0,3844.0,2601.0
13,24,21,16,18,19,31,88,69,2475.0,3960.0,2819.0,3843.0,2601.0
14,25,19,15,19,19,33,93,77,2474.0,3960.0,2819.0,3842.0,2603.0
15,25,18,15,16,18,32,88,74,2474.0,3959.0,2818.0,3836.0,2608.0
16,29,20,15,17,19,31,80,69,2473.0,3959.0,2817.0,3831.0,2612.0
17,28,20,25,18,19,27,76,68,2473.0,3959.0,2817.0,3826.0,2614.0
18,29,21,36,20,20,23,64,56,2472.0,3959.0,2817.0,3817.0,2614.0
19,32,38,133,56,29,23,51,46,2472.0,3959.0,2816.0,3814.0,2614.0
20,33,44,154,70,33,30,46,45,2473.0,3959.0,2816.0,3811.0,2614.0
21,34,47,186,79,40,38,58,51,2473.0,3960.0,2817.0,3811.0,2614.0
22,38,47,187,85,40,40,63,50,2473.0,3959.0,2817.0,3811.0,2614.0
23,42,47,192,89,40,42,68,51,2473.0,3959.0,2818.0,3811.0,2614.0
24,39,36,145,77,34,41,69,53,2474.0,3960.0,2819.0,3815.0,2615.0
25,39,31,135,68,33,37,76,58,2474.0,3959.0,2820.0,3820.0,2615.0
26,38,27,90,59,28,29,72,55,2475.0,3959.0,2819.0,3830.0,2615.0
27,36,25,90,52,28,25,64,58,2475.0,3960.0,2818.0,3834.0,2615.0
28,34,27,83,47,28,25,55,55,2475.0,3959.0,2817.0,3837.0,2615.0
29,34,26,81,45,28,27,53,55,2475.0,3959.0,2816.0,3840.0,2614.0
30,32,24,67,41,26,30,44,49,2475.0,3959.0,2815.0,3849.0,2613.0
31,31,24,68,45,24,34,46,47,2476.0,3959.0,2814.0,3865.0,2613.0
32,33,31,87,57,26,37,52,45,2476.0,3959.0,2814.0,3865.0,2612.0
33,33,30,86,56,27,36,54,49,2476.0,3959.0,2813.0,3886.0,2613.0
34,39,33,87,56,30,36,58,50,2475.0,3959.0,2812.0,3897.0,2613.0
35,39,38,130,68,30,37,61,50,2476.0,3959.0,2811.0,3907.0,2613.0
36,47,39,143,79,33,36,57,50,2476.0,3959.0,2810.0,3924.0,2612.0
37,47,36,130,75,33,35,57,53,2476.0,3959.0,2809.0,3946.0,2612.0
38,43,35,127,73,33,34,57,49,2476.0,3959.0,2809.0,3957.0,2612.0
39,41,34,136,75,30,33,51,49,2476.0,3959.0,2808.0,3966.0,2613.0
40,41,39,159,107,38,31,48,47,2476.0,3959.0,2807.0,3982.0,2614.0
41,32,37,154,104,36,29,51,47,2476.0,3959.0,2806.0,3991.0,2614.0
42,31,36,162,103,37,31,53,40,2476.0,3959.0,2806.0,3998.0,2613.0
43,41,46,187,119,39,39,79,41,2476.0,3959.0,2806.0,4008.0,2612.0
44,41,53,263,155,50,50,112,43,2476.0,3959.0,2806.0,4014.0,2611.0
45,43,66,324,232,68,49,115,44,2476.0,3959.0,2806.0,4019.0,2610.0
46,46,71,347,250,72,49,115,49,2476.0,3959.0,2811.0,4032.0,2609.0
47,47,71,344,251,72,51,119,50,2477.0,3959.0,2811.0,4036.0,2609.0
48,41,68,347,252,72,50,115,64,2476.0,3959.0,2814.0,4038.0,2609.0
49,58,65,305,236,67,44,92,182,2476.0,3959.0,2816.0,4042.0,2610.0
50,60,46,212,142,46,53,99,197,2477.0,3959.0,2817.0,4042.0,2611.0
51,59,41,189,109,36,55,98,199,2477.0,3959.0,2817.0,4045.0,2611.0
52,58,44,206,143,40,52,94,202,2477.0,3959.0,2819.0,4046.0,2611.0
53,59,52,286,161,43,49,90,205,2477.0,3959.0,2820.0,4046.0,2611.0
54,46,51,287,177,46,51,91,114,2477.0,3959.0,2821.0,4047.0,2611.0
55,58,51,313,198,51,47,77,87,2478.0,3958.0,2825.0,4049.0,2613.0
56,65,54,328,216,59,51,79,81,2478.0,3959.0,2826.0,4049.0,2613.0
57,66,63,378,248,72,64,97,92,2478.0,3959.0,2830.0,4052.0,2612.0
58,78,62,343,250,72,69,103,209,E,r,r,o,r
59,79,73,361,240,77,87,102,285,2479.0,3959.0,2832.0,4055.0,2611.0
60,82,76,360,249,89,127,108,318,2480.0,3959.0,2833.0,4056.0,2607.0
61,86,81,392,271,95,138,114,327,2481.0,3959.0,2839.0,4057.0,2606.0
62,102,78,389,282,96,139,106,332,E,r,r,o,r
63,102,84,537,414,139,158,104,289,2482.0,3963.0,2866.0,4059.0,2609.0
64,114,86,625,558,179,168,106,257,2483.0,3966.0,2887.0,4060.0,2614.0
65,115,92,724,662,209,150,130,232,2484.0,3968.0,2914.0,4062.0,2626.0
66,129,90,735,679,216,155,174,292,2487.0,3973.0,2943.0,4062.0,2661.0
67,118,89,796,750,232,157,208,337,2488.0,3983.0,2987.0,4063.0,2682.0
68,160,84,715,709,215,154,273,390,2488.0,3990.0,3003.0,4063.0,2689.0
69,160,80,649,628,186,132,273,371,2488.0,3995.0,3014.0,4063.0,2694.0
70,158,76,597,622,173,155,270,371,2489.0,4002.0,3034.0,4064.0,2699.0
71,147,74,554,596,165,170,287,341,2489.0,4005.0,3042.0,4064.0,2702.0
72,148,75,493,525,147,170,280,328,2490.0,4007.0,3050.0,4064.0,2704.0
73,102,70,517,552,148,158,220,247,2491.0,4009.0,3059.0,4064.0,2708.0
74,94,69,541,621,154,163,218,288,2491.0,4009.0,3061.0,4064.0,2710.0
