,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Thumb,Index,Middle,Ring,Pinkie
0,123,48,35,37,60,165,183,129,2975.0,4094.0,3432.0,4055.0,3243.0
1,85,42,37,38,68,169,196,141,2586.0,4003.0,2881.0,3912.0,2711.0
2,106,45,33,32,65,182,179,141,2586.0,4002.0,2881.0,3912.0,2711.0
3,109,44,38,37,62,169,231,146,2586.0,4002.0,2880.0,3912.0,2711.0
4,106,42,40,38,66,172,221,121,E,r,r,o,r
5,110,44,42,37,64,182,209,171,2586.0,4002.0,2881.0,3912.0,2711.0
6,108,41,41,36,57,168,200,165,2586.0,4002.0,2881.0,3912.0,2710.0
7,81,39,40,37,59,190,200,165,E,r,r,o,r
8,94,43,37,34,57,199,132,160,2585.0,4002.0,2880.0,3912.0,2711.0
9,120,45,35,34,55,227,156,201,2586.0,4002.0,2881.0,3912.0,2711.0
10,121,45,33,35,60,231,151,165,E,r,r,o,r
11,121,47,37,38,71,253,156,187,2586.0,4001.0,2881.0,3912.0,2710.0
12,129,49,37,37,67,222,151,185,2585.0,4002.0,2880.0,3912.0,2709.0
13,117,44,42,44,77,223,150,201,E,r,r,o,r
14,92,41,41,44,77,199,128,162,2585.0,4001.0,2881.0,3912.0,2710.0
15,93,41,43,46,76,184,147,162,2586.0,4001.0,2881.0,3912.0,2710.0
16,106,44,40,48,77,192,132,132,E,r,r,o,r
17,92,41,41,48,77,197,154,145,2586.0,4002.0,2881.0,3912.0,2710.0
18,109,48,38,44,81,230,178,184,2585.0,4001.0,2881.0,3912.0,2709.0
19,110,49,39,45,80,257,176,180,E,r,r,o,r
20,115,52,42,46,83,267,156,177,2585.0,4001.0,2881.0,3912.0,2710.0
21,128,50,40,40,74,250,184,179,2585.0,4001.0,2880.0,3912.0,2710.0
22,130,50,41,44,85,251,170,166,2586.0,4001.0,2881.0,3912.0,2710.0
23,146,51,40,40,75,197,162,201,2586.0,4001.0,2881.0,3912.0,2709.0
24,149,54,42,40,80,192,189,207,2586.0,4001.0,2881.0,3912.0,2709.0
25,140,54,41,41,78,208,186,206,2586.0,4001.0,2880.0,3912.0,2708.0
26,129,52,43,43,78,201,201,206,E,r,r,o,r
27,143,60,48,46,82,211,217,218,2585.0,4001.0,2880.0,3912.0,2708.0
28,110,52,46,47,91,322,210,133,2585.0,4001.0,2880.0,3912.0,2709.0
29,106,49,44,46,85,309,194,119,E,r,r,o,r
30,110,47,43,46,86,303,199,122,2585.0,4001.0,2880.0,3912.0,2708.0
31,97,47,44,47,91,301,151,118,2585.0,4001.0,2881.0,3912.0,2708.0
32,72,38,43,45,79,289,129,110,2585.0,4000.0,2883.0,3912.0,2709.0
33,83,50,51,49,70,159,140,147,2585.0,4000.0,2884.0,3911.0,2709.0
34,84,52,50,49,69,140,194,183,2586.0,4000.0,2886.0,3912.0,2711.0
