,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Thumb,Index,Middle,Ring,Pinkie
0,664,211,62,71,27,29,51,189,2487.0,4029.0,3671.0,3988.0,3021.0
1,632,183,66,96,32,33,46,144,2421.0,4009.0,3023.0,3881.0,2811.0
2,657,198,64,99,33,37,53,160,2420.0,4009.0,3023.0,3881.0,2810.0
3,702,187,64,102,35,40,57,173,2421.0,4009.0,3023.0,3881.0,2810.0
4,592,170,65,109,35,41,55,180,2420.0,4009.0,3023.0,3881.0,2811.0
5,570,200,69,109,33,42,59,179,2420.0,4009.0,3023.0,3881.0,2811.0
6,570,202,63,95,29,42,64,201,2420.0,4009.0,3023.0,3881.0,2810.0
7,506,197,65,93,29,45,73,224,2420.0,4009.0,3023.0,3881.0,2810.0
8,455,212,68,97,27,41,71,213,2420.0,4009.0,3023.0,3881.0,2810.0
9,429,200,71,100,26,42,68,191,2420.0,4009.0,3023.0,3881.0,2811.0
10,407,181,72,111,27,40,66,179,2420.0,4009.0,3023.0,3881.0,2810.0
11,412,199,68,107,27,38,66,169,2420.0,4009.0,3023.0,3881.0,2810.0
12,409,179,66,109,29,32,51,132,2420.0,4009.0,3023.0,3881.0,2811.0
13,366,172,61,108,30,33,52,145,2420.0,4009.0,3023.0,3881.0,2810.0
14,360,174,60,118,33,35,52,145,2420.0,4009.0,3023.0,3881.0,2810.0
15,369,151,57,93,32,33,51,143,2420.0,4009.0,3023.0,3881.0,2811.0
16,328,123,62,104,31,33,49,131,2420.0,4009.0,3023.0,3881.0,2811.0
17,350,128,62,106,28,31,48,123,2420.0,4009.0,3023.0,3881.0,2810.0
18,339,109,58,102,25,29,48,104,2420.0,4009.0,3023.0,3881.0,2811.0
19,339,111,53,80,22,24,47,111,2420.0,4009.0,3023.0,3881.0,2811.0
20,288,113,46,78,19,25,47,113,2420.0,4009.0,3023.0,3881.0,2811.0
21,281,111,41,57,19,23,40,106,2420.0,4009.0,3024.0,3881.0,2811.0
22,340,119,50,51,20,23,39,97,2420.0,4009.0,3024.0,3881.0,2811.0
23,326,119,60,65,26,23,37,108,E,r,r,o,r
24,329,107,60,71,28,22,40,104,2421.0,4009.0,3026.0,3881.0,2813.0
25,341,107,59,69,28,21,42,110,2421.0,4009.0,3027.0,3881.0,2813.0
26,339,97,64,69,28,22,50,134,2422.0,4009.0,3032.0,3882.0,2814.0
27,245,85,64,67,28,24,50,130,2422.0,4010.0,3032.0,3882.0,2815.0
28,245,83,55,51,24,24,47,122,2422.0,4011.0,3040.0,3885.0,2818.0
29,242,84,56,65,25,26,45,120,E,r,r,o,r
30,250,100,56,68,27,26,45,117,2423.0,4014.0,3060.0,3891.0,2823.0
31,245,105,43,66,27,27,43,106,2423.0,4015.0,3067.0,3894.0,2825.0
32,220,100,32,64,24,25,43,127,2423.0,4016.0,3074.0,3897.0,2826.0
33,203,95,31,64,24,26,45,133,2424.0,4022.0,3090.0,3905.0,2829.0
34,198,104,47,41,24,29,46,137,2425.0,4030.0,3106.0,3908.0,2831.0
35,164,85,45,37,24,27,43,133,2425.0,4034.0,3113.0,3915.0,2832.0
36,146,76,46,38,24,25,37,118,2425.0,4036.0,3119.0,3918.0,2836.0
37,145,96,47,37,27,29,43,104,2426.0,4039.0,3130.0,3923.0,2838.0
38,166,100,51,37,28,30,42,107,2426.0,4040.0,3134.0,3924.0,2842.0
39,289,116,41,33,28,25,40,116,E,r,r,o,r
40,347,151,43,33,28,27,45,125,2428.0,4042.0,3147.0,3925.0,2846.0
41,356,156,46,31,29,29,52,150,2429.0,4042.0,3153.0,3926.0,2851.0
42,364,151,52,31,28,26,47,143,2430.0,4043.0,3160.0,3927.0,2854.0
43,420,171,55,43,29,24,50,153,2430.0,4044.0,3178.0,3930.0,2857.0
44,345,158,59,49,27,25,54,147,2431.0,4044.0,3193.0,3932.0,2860.0
45,322,134,63,54,27,26,54,149,2433.0,4046.0,3213.0,3937.0,2865.0
46,366,185,63,57,27,27,48,142,2433.0,4047.0,3253.0,3940.0,2869.0
47,366,181,63,61,36,31,53,158,2435.0,4049.0,3271.0,3948.0,2876.0
48,385,170,57,53,37,31,53,152,2435.0,4049.0,3292.0,3952.0,2880.0
49,408,171,54,52,39,38,54,152,2437.0,4050.0,3326.0,3961.0,2889.0
