,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Thumb,Index,Middle,Ring,Pinkie
0,106,76,108,68,24,18,20,30,2436.0,4033.0,3532.0,3935.0,2723.0
1,129,75,117,70,26,20,22,33,2412.0,4027.0,3079.0,4028.0,2767.0
2,158,91,130,88,27,19,22,32,2412.0,4028.0,3079.0,4028.0,2767.0
3,170,94,134,92,28,19,23,33,2412.0,4028.0,3079.0,4028.0,2767.0
4,177,104,136,105,29,19,22,32,E,r,r,o,r
5,165,110,139,105,28,19,21,30,2412.0,4027.0,3079.0,4028.0,2767.0
6,150,110,128,104,26,17,19,29,2412.0,4028.0,3078.0,4028.0,2766.0
7,136,103,101,93,24,19,19,34,E,r,r,o,r
8,121,101,99,88,23,18,19,33,2412.0,4028.0,3078.0,4028.0,2767.0
9,113,77,81,52,18,18,19,33,2412.0,4028.0,3078.0,4028.0,2767.0
10,112,73,91,67,18,18,19,34,2412.0,4028.0,3078.0,4028.0,2767.0
11,109,99,110,70,19,17,19,32,2412.0,4028.0,3078.0,4028.0,2767.0
12,111,91,111,64,18,16,16,29,2412.0,4028.0,3078.0,4028.0,2768.0
13,142,102,116,70,18,17,17,29,2412.0,4028.0,3077.0,4028.0,2767.0
14,144,110,120,74,21,18,19,33,2412.0,4028.0,3077.0,4028.0,2767.0
15,157,124,113,61,28,19,18,34,2412.0,4028.0,3075.0,4028.0,2768.0
16,183,170,120,67,58,20,20,38,2412.0,4028.0,3075.0,4028.0,2768.0
17,206,200,133,72,65,25,21,49,2412.0,4028.0,3075.0,4028.0,2768.0
18,189,203,126,67,66,24,21,53,2413.0,4028.0,3079.0,4029.0,2769.0
19,204,317,148,68,67,25,21,52,2413.0,4028.0,3081.0,4028.0,2770.0
20,213,321,147,72,100,24,22,54,2414.0,4028.0,3082.0,4028.0,2770.0
21,200,307,133,65,104,25,21,54,2415.0,4028.0,3087.0,4029.0,2771.0
22,188,295,125,86,103,21,21,44,2416.0,4028.0,3092.0,4029.0,2771.0
23,235,312,129,90,104,21,23,42,E,r,r,o,r
24,255,206,125,89,106,22,24,40,2417.0,4028.0,3106.0,4029.0,2772.0
25,260,237,125,84,75,22,24,40,2417.0,4028.0,3110.0,4029.0,2773.0
26,266,222,119,80,53,21,23,37,E,r,r,o,r
