,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Thumb,Index,Middle,Ring,Pinkie
0,160,55,39,51,160,494,149,181,2550.0,4094.0,2832.0,3923.0,2654.0
1,155,55,38,52,169,542,172,169,2552.0,4092.0,2796.0,3922.0,2643.0
2,161,57,38,48,149,515,170,188,2552.0,4092.0,2796.0,3922.0,2643.0
3,144,54,38,48,148,541,170,199,2552.0,4092.0,2795.0,3922.0,2644.0
4,159,58,39,44,132,496,170,195,E,r,r,o,r
5,136,47,39,38,99,423,168,188,2552.0,4093.0,2795.0,3922.0,2643.0
6,127,46,45,41,87,376,194,187,2552.0,4092.0,2795.0,3922.0,2644.0
7,119,46,46,42,89,382,189,202,E,r,r,o,r
8,147,55,50,44,117,487,211,205,2552.0,4092.0,2795.0,3922.0,2644.0
9,127,51,47,43,126,498,230,212,2552.0,4092.0,2795.0,3922.0,2644.0
10,123,49,46,45,126,488,234,210,E,r,r,o,r
11,124,49,42,41,122,487,198,208,2552.0,4092.0,2795.0,3922.0,2644.0
12,145,53,40,41,127,528,202,190,2552.0,4093.0,2795.0,3922.0,2643.0
13,137,46,34,36,98,412,188,195,2552.0,4093.0,2795.0,3922.0,2644.0
14,140,46,37,43,89,378,164,185,2552.0,4092.0,2795.0,3922.0,2644.0
15,146,45,34,38,90,402,162,176,2552.0,4092.0,2795.0,3922.0,2644.0
16,149,47,35,39,94,419,182,175,E,r,r,o,r
17,153,53,43,42,93,375,181,176,2552.0,4092.0,2795.0,3921.0,2644.0
18,143,55,47,42,83,343,202,154,2552.0,4092.0,2795.0,3922.0,2644.0
19,148,56,45,35,80,380,208,184,2552.0,4092.0,2795.0,3922.0,2644.0
20,144,56,47,42,108,412,206,190,2552.0,4093.0,2795.0,3922.0,2644.0
21,145,56,45,40,113,410,195,192,2553.0,4092.0,2795.0,3922.0,2645.0
22,119,46,37,35,105,397,213,168,2553.0,4092.0,2795.0,3922.0,2644.0
23,109,42,35,38,113,431,180,169,2553.0,4093.0,2795.0,3922.0,2644.0
24,98,42,35,43,121,419,170,135,2552.0,4092.0,2795.0,3922.0,2644.0
25,97,40,35,41,103,381,190,171,2552.0,4093.0,2796.0,3922.0,2644.0
26,94,44,39,45,96,345,180,172,2552.0,4093.0,2795.0,3922.0,2644.0
27,104,43,39,46,96,346,161,156,2552.0,4092.0,2795.0,3922.0,2644.0
28,110,45,40,53,130,433,265,175,2552.0,4092.0,2795.0,3922.0,2645.0
29,120,46,39,50,131,449,269,177,E,r,r,o,r
30,120,50,43,50,128,438,273,139,2551.0,4092.0,2796.0,3922.0,2645.0
31,119,50,44,59,185,649,312,144,2551.0,4093.0,2796.0,3922.0,2645.0
32,92,48,43,59,189,675,317,144,E,r,r,o,r
33,93,49,43,54,174,666,247,182,2550.0,4092.0,2797.0,3922.0,2646.0
34,99,48,44,55,173,691,255,190,2550.0,4092.0,2797.0,3922.0,2646.0
35,103,49,41,59,205,769,233,193,E,r,r,o,r
36,114,52,45,62,179,677,199,184,2549.0,4092.0,2798.0,3922.0,2647.0
37,133,57,47,67,188,669,181,192,2549.0,4090.0,2801.0,3922.0,2647.0
38,140,75,53,65,181,628,182,156,2549.0,4091.0,2801.0,3922.0,2647.0
39,125,76,56,70,190,606,237,165,2548.0,4090.0,2801.0,3922.0,2647.0
40,144,86,64,73,174,550,238,167,2549.0,4089.0,2808.0,3922.0,2648.0
41,164,87,59,64,170,528,223,169,2549.0,4090.0,2810.0,3922.0,2649.0
42,164,89,63,69,208,646,237,201,2549.0,4091.0,2812.0,3921.0,2650.0
43,199,84,58,74,230,737,229,189,2550.0,4093.0,2810.0,3922.0,2650.0
44,204,92,56,70,231,751,213,178,2550.0,4093.0,2810.0,3922.0,2649.0
45,203,85,51,71,239,817,238,175,2550.0,4093.0,2809.0,3922.0,2650.0
46,195,95,62,83,278,823,264,208,2551.0,4094.0,2810.0,3922.0,2650.0
47,241,102,66,90,293,887,257,183,2552.0,4094.0,2811.0,3923.0,2651.0
48,225,104,70,89,295,882,265,186,2552.0,4094.0,2811.0,3922.0,2650.0
49,225,98,72,99,358,970,238,193,2552.0,4094.0,2811.0,3922.0,2650.0
50,238,99,72,101,369,935,263,200,E,r,r,o,r
51,259,100,71,96,350,985,258,187,2552.0,4094.0,2813.0,3922.0,2650.0
52,223,92,64,84,314,910,258,198,2553.0,4094.0,2813.0,3923.0,2651.0
53,256,94,61,83,307,894,267,219,2553.0,4094.0,2814.0,3923.0,2651.0
54,260,96,60,82,294,996,280,215,2553.0,4094.0,2816.0,3923.0,2652.0
55,297,117,72,86,315,1059,256,227,2553.0,4094.0,2816.0,3922.0,2652.0
56,385,136,70,84,308,1009,258,267,2553.0,4094.0,2818.0,3923.0,2652.0
57,381,139,72,86,315,1042,253,254,2553.0,4094.0,2819.0,3923.0,2652.0
58,358,141,76,85,308,1013,235,233,2553.0,4094.0,2821.0,3923.0,2653.0
59,376,149,76,81,249,834,201,235,2553.0,4094.0,2825.0,3923.0,2654.0
60,344,138,74,79,211,810,208,247,2554.0,4094.0,2827.0,3923.0,2654.0
61,231,133,88,96,273,889,217,222,2554.0,4094.0,2828.0,3923.0,2656.0
62,255,133,91,105,314,951,240,229,2554.0,4094.0,2829.0,3923.0,2656.0
63,261,130,93,114,347,1050,262,239,2553.0,4094.0,2829.0,3923.0,2657.0
64,252,129,98,117,355,1140,269,237,2553.0,4094.0,2830.0,3923.0,2657.0
65,280,133,99,118,360,1190,266,233,2553.0,4094.0,2831.0,3923.0,2657.0
66,271,114,89,120,363,1156,250,207,2554.0,4095.0,2831.0,3923.0,2658.0
67,271,120,92,121,370,1140,284,233,2553.0,4094.0,2831.0,3923.0,2658.0
68,267,119,87,122,385,1186,267,241,2553.0,4094.0,2831.0,3923.0,2657.0
69,277,122,89,124,405,1133,275,261,2553.0,4094.0,2831.0,3923.0,2657.0
70,232,113,80,119,398,1040,268,244,2553.0,4094.0,2832.0,3924.0,2658.0
