,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Thumb,Index,Middle,Ring,Pinkie
0,50,31,35,46,115,349,174,116,2540.0,4092.0,3575.0,3955.0,2686.0
1,50,29,38,47,119,390,167,121,2526.0,4092.0,2958.0,3902.0,2661.0
2,56,28,36,44,115,391,165,183,2526.0,4092.0,2959.0,3902.0,2661.0
3,59,28,37,42,117,443,240,192,2526.0,4092.0,2959.0,3901.0,2660.0
4,59,28,39,42,101,415,270,198,2526.0,4092.0,2959.0,3901.0,2661.0
5,54,28,43,41,99,406,266,202,2526.0,4093.0,2959.0,3902.0,2661.0
6,54,30,43,44,97,409,245,199,2525.0,4092.0,2959.0,3902.0,2661.0
7,46,29,43,47,118,500,254,132,2525.0,4092.0,2959.0,3902.0,2661.0
8,41,30,41,43,106,467,209,125,2526.0,4092.0,2959.0,3902.0,2661.0
9,37,30,42,44,109,467,172,114,2525.0,4092.0,2958.0,3901.0,2661.0
10,41,32,44,47,113,466,251,141,2526.0,4093.0,2959.0,3902.0,2661.0
11,44,33,48,50,130,535,321,149,2526.0,4092.0,2959.0,3901.0,2661.0
12,45,34,51,55,127,486,327,158,2526.0,4092.0,2959.0,3902.0,2661.0
13,43,35,54,56,128,473,311,153,2525.0,4092.0,2959.0,3902.0,2662.0
14,43,33,51,54,126,474,314,158,2525.0,4092.0,2959.0,3902.0,2661.0
15,39,31,48,50,125,489,267,118,2526.0,4093.0,2959.0,3902.0,2662.0
16,36,28,46,50,100,382,214,106,E,r,r,o,r
17,34,31,46,46,81,333,203,88,2526.0,4092.0,2959.0,3902.0,2662.0
18,39,29,47,44,80,332,236,129,2526.0,4093.0,2959.0,3902.0,2661.0
19,42,31,48,53,114,416,256,134,2526.0,4093.0,2959.0,3902.0,2662.0
20,43,30,49,56,114,414,260,132,2526.0,4092.0,2959.0,3902.0,2662.0
21,46,30,45,52,116,425,248,141,2526.0,4092.0,2959.0,3902.0,2662.0
22,49,30,42,56,130,446,295,160,2526.0,4092.0,2959.0,3902.0,2662.0
23,46,30,41,58,131,445,279,125,2526.0,4092.0,2959.0,3902.0,2662.0
24,45,27,40,51,103,367,261,116,2526.0,4092.0,2959.0,3902.0,2662.0
25,59,30,39,50,110,361,257,184,2526.0,4092.0,2959.0,3902.0,2662.0
26,61,30,41,52,115,342,246,185,2526.0,4092.0,2959.0,3902.0,2661.0
27,62,32,40,48,107,308,226,173,2526.0,4092.0,2959.0,3902.0,2662.0
28,66,34,40,50,123,348,299,195,E,r,r,o,r
29,70,36,41,51,137,388,299,197,2526.0,4092.0,2968.0,3902.0,2663.0
30,60,38,47,51,136,420,298,138,E,r,r,o,r
31,57,39,51,53,129,413,312,185,2526.0,4093.0,3002.0,3903.0,2665.0
32,57,42,53,51,135,443,312,195,2527.0,4092.0,3017.0,3903.0,2667.0
33,66,53,60,51,120,394,229,180,2527.0,4092.0,3059.0,3903.0,2668.0
34,78,62,60,53,112,369,327,228,2527.0,4092.0,3083.0,3903.0,2671.0
35,83,64,57,53,110,349,344,250,2527.0,4092.0,3108.0,3903.0,2672.0
36,86,65,54,52,132,445,339,219,2527.0,4093.0,3166.0,3904.0,2674.0
37,87,65,60,56,122,399,345,221,E,r,r,o,r
38,85,62,62,54,131,452,401,252,2525.0,4092.0,3226.0,3904.0,2676.0
39,86,84,75,59,149,492,332,211,2524.0,4092.0,3270.0,3905.0,2677.0
40,93,92,85,57,151,519,358,188,2525.0,4092.0,3291.0,3906.0,2678.0
41,107,93,88,58,137,463,357,182,2525.0,4092.0,3321.0,3907.0,2677.0
42,134,96,83,53,151,536,339,185,2525.0,4092.0,3332.0,3908.0,2676.0
43,136,100,79,53,143,512,311,165,2526.0,4093.0,3353.0,3910.0,2677.0
44,138,95,95,59,121,464,343,167,2526.0,4092.0,3365.0,3913.0,2677.0
45,172,117,117,83,129,448,316,198,2527.0,4092.0,3398.0,3931.0,2679.0
46,194,152,143,92,153,484,324,242,2527.0,4092.0,3414.0,3931.0,2679.0
47,202,167,152,102,147,436,339,241,2527.0,4092.0,3428.0,3937.0,2680.0
48,203,167,154,105,153,483,347,236,2528.0,4092.0,3454.0,3947.0,2681.0
49,208,167,145,107,158,566,312,237,2529.0,4092.0,3464.0,3954.0,2681.0
50,271,189,160,101,153,549,315,240,2531.0,4092.0,3474.0,3957.0,2682.0
51,313,197,152,95,142,517,340,270,2532.0,4092.0,3486.0,3960.0,2683.0
52,335,195,155,104,173,692,412,294,2533.0,4092.0,3508.0,3962.0,2683.0
53,341,205,156,103,178,696,411,288,2534.0,4093.0,3524.0,3961.0,2686.0
