,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Thumb,Index,Middle,Ring,Pinkie
0,23,22,38,50,45,26,29,20,2386.0,3957.0,2869.0,3846.0,2672.0
1,20,22,40,47,46,27,31,20,2383.0,3956.0,2866.0,3847.0,2671.0
2,21,21,39,45,48,29,31,20,2383.0,3956.0,2866.0,3847.0,2671.0
3,20,16,35,39,48,27,31,21,2383.0,3956.0,2867.0,3847.0,2672.0
4,24,18,33,41,65,37,35,23,2383.0,3956.0,2866.0,3847.0,2672.0
5,24,19,35,40,68,39,34,23,2383.0,3956.0,2867.0,3847.0,2672.0
6,25,22,36,41,67,37,32,23,2383.0,3956.0,2866.0,3846.0,2671.0
7,24,23,37,44,70,37,43,24,2383.0,3956.0,2866.0,3846.0,2671.0
8,24,26,45,54,73,38,50,21,2383.0,3956.0,2866.0,3846.0,2671.0
9,21,25,47,53,57,32,48,18,2383.0,3956.0,2867.0,3847.0,2671.0
10,21,26,50,53,52,30,49,19,2383.0,3956.0,2867.0,3847.0,2672.0
11,24,25,49,52,53,31,54,17,2383.0,3956.0,2866.0,3847.0,2672.0
12,23,23,46,48,46,35,49,17,2383.0,3956.0,2866.0,3846.0,2671.0
13,25,24,43,56,49,33,43,19,2383.0,3956.0,2866.0,3846.0,2671.0
14,25,24,40,56,51,31,42,20,2383.0,3956.0,2866.0,3847.0,2672.0
15,25,24,40,58,58,34,43,19,2383.0,3956.0,2866.0,3847.0,2671.0
16,24,25,42,60,57,34,41,20,E,r,r,o,r
17,25,26,48,64,58,27,36,19,2383.0,3956.0,2866.0,3847.0,2671.0
18,42,27,53,62,54,27,35,17,2383.0,3956.0,2866.0,3847.0,2671.0
19,87,44,57,65,56,33,46,18,2383.0,3956.0,2866.0,3846.0,2671.0
20,88,44,53,61,50,30,43,20,2383.0,3956.0,2866.0,3846.0,2671.0
21,93,45,52,60,50,31,42,21,2383.0,3956.0,2866.0,3846.0,2671.0
22,94,45,50,56,51,33,43,21,2383.0,3956.0,2867.0,3846.0,2671.0
23,89,46,40,46,48,34,46,22,2382.0,3956.0,2866.0,3846.0,2671.0
24,48,35,53,55,42,29,40,21,2383.0,3956.0,2867.0,3847.0,2671.0
25,46,34,52,55,39,30,43,20,2383.0,3956.0,2866.0,3846.0,2672.0
26,38,34,53,69,46,32,44,19,2382.0,3956.0,2866.0,3846.0,2671.0
27,35,35,51,70,46,33,43,20,2383.0,3956.0,2866.0,3846.0,2671.0
28,35,34,56,71,44,35,46,19,2383.0,3956.0,2866.0,3846.0,2671.0
29,31,31,46,68,54,34,43,19,2382.0,3956.0,2866.0,3846.0,2671.0
30,32,32,47,73,57,37,48,24,2382.0,3956.0,2867.0,3847.0,2671.0
31,28,29,48,67,58,35,46,26,2383.0,3956.0,2867.0,3847.0,2671.0
32,28,28,48,72,65,34,49,25,2383.0,3956.0,2867.0,3846.0,2671.0
33,26,25,52,73,67,35,44,24,2383.0,3956.0,2866.0,3846.0,2671.0
34,24,25,49,68,65,36,43,24,2383.0,3956.0,2867.0,3846.0,2671.0
35,69,36,46,67,67,34,35,20,2383.0,3956.0,2866.0,3846.0,2671.0
36,93,42,44,64,62,36,50,21,2382.0,3956.0,2866.0,3846.0,2671.0
37,94,42,43,57,61,35,51,23,2383.0,3956.0,2867.0,3846.0,2671.0
38,96,44,52,71,79,42,58,25,2383.0,3956.0,2866.0,3846.0,2671.0
39,98,44,52,68,84,44,59,27,2383.0,3956.0,2866.0,3846.0,2671.0
40,74,34,51,63,82,42,59,27,2383.0,3956.0,2866.0,3847.0,2671.0
41,64,34,52,60,82,41,47,25,E,r,r,o,r
42,63,34,54,72,87,43,47,24,2383.0,3956.0,2866.0,3847.0,2671.0
43,62,33,34,54,80,36,40,23,2383.0,3956.0,2866.0,3846.0,2671.0
