,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Thumb,Index,Middle,Ring,Pinkie
0,235,35,22,20,18,57,70,48,2511.0,4094.0,3431.0,4063.0,3457.0
1,238,38,23,19,22,125,71,67,2353.0,4006.0,2888.0,3853.0,2840.0
2,229,44,25,19,23,130,72,77,2353.0,4006.0,2889.0,3853.0,2840.0
3,237,47,23,17,25,136,78,79,2353.0,4006.0,2889.0,3853.0,2840.0
4,222,47,22,17,25,137,60,79,2353.0,4006.0,2889.0,3853.0,2840.0
5,240,48,24,18,24,138,56,79,2353.0,4006.0,2889.0,3853.0,2841.0
6,276,53,23,18,22,80,58,77,2353.0,4006.0,2889.0,3853.0,2841.0
7,246,51,22,18,21,120,59,69,2353.0,4006.0,2889.0,3853.0,2841.0
8,242,51,23,19,18,141,54,71,2352.0,4006.0,2889.0,3853.0,2841.0
9,244,55,25,20,19,144,56,74,2352.0,4006.0,2889.0,3853.0,2841.0
10,234,54,24,20,20,139,49,73,2352.0,4006.0,2889.0,3853.0,2840.0
11,220,48,24,20,19,144,63,57,E,r,r,o,r
12,242,45,28,20,19,112,70,64,2353.0,4006.0,2889.0,3853.0,2841.0
13,232,48,31,22,20,75,70,64,2353.0,4007.0,2889.0,3853.0,2841.0
14,237,42,29,24,21,66,69,59,2353.0,4006.0,2889.0,3853.0,2841.0
15,230,39,29,23,19,61,70,64,2352.0,4006.0,2889.0,3853.0,2841.0
16,203,43,29,22,20,43,49,66,2352.0,4007.0,2889.0,3853.0,2841.0
17,154,41,26,22,21,30,35,60,2352.0,4007.0,2889.0,3853.0,2841.0
18,152,37,23,19,20,25,29,57,2353.0,4007.0,2889.0,3853.0,2841.0
19,141,41,26,17,20,23,27,60,2353.0,4007.0,2890.0,3853.0,2840.0
20,134,41,25,17,21,22,26,58,2353.0,4006.0,2891.0,3853.0,2840.0
21,137,38,25,18,19,19,23,59,2352.0,4006.0,2892.0,3853.0,2841.0
22,152,38,25,18,17,24,25,57,2353.0,4007.0,2896.0,3854.0,2841.0
23,199,45,25,19,16,96,47,52,2353.0,4007.0,2903.0,3855.0,2843.0
24,197,46,20,17,16,101,53,48,2353.0,4007.0,2903.0,3857.0,2843.0
25,207,50,21,18,15,104,54,60,2353.0,4008.0,2909.0,3857.0,2845.0
26,194,52,20,19,18,107,55,59,2353.0,4008.0,2912.0,3857.0,2845.0
27,185,51,21,18,20,107,54,56,2353.0,4008.0,2912.0,3857.0,2845.0
28,132,43,20,17,20,54,38,61,2353.0,4009.0,2914.0,3857.0,2845.0
29,127,112,49,19,21,45,31,63,2353.0,4009.0,2917.0,3857.0,2845.0
30,109,134,68,23,21,39,34,50,2353.0,4009.0,2917.0,3858.0,2845.0
31,131,137,73,23,20,31,34,67,2353.0,4009.0,2924.0,3862.0,2846.0
32,197,143,74,23,18,26,33,70,2353.0,4008.0,2943.0,3869.0,2847.0
