,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Thumb,Index,Middle,Ring,Pinkie
0,36,31,81,53,30,24,28,56,2900.0,3950.0,2937.0,3887.0,2691.0
1,35,45,125,74,34,29,35,63,3092.0,3968.0,2950.0,3891.0,2687.0
2,35,50,118,63,34,28,34,54,3092.0,3968.0,2950.0,3891.0,2687.0
3,37,52,124,67,34,30,35,58,3092.0,3968.0,2951.0,3891.0,2687.0
4,50,53,130,72,35,32,37,79,3092.0,3969.0,2951.0,3891.0,2686.0
5,52,54,135,75,35,33,37,84,3093.0,3968.0,2950.0,3891.0,2686.0
6,52,44,102,57,31,26,28,79,3093.0,3968.0,2951.0,3891.0,2687.0
7,54,39,102,59,35,26,29,79,3093.0,3968.0,2950.0,3891.0,2686.0
8,50,42,101,57,35,26,30,76,3093.0,3968.0,2951.0,3891.0,2686.0
9,35,42,95,55,35,26,29,53,3093.0,3968.0,2950.0,3891.0,2686.0
10,33,44,99,55,34,24,28,45,3093.0,3968.0,2951.0,3892.0,2686.0
11,36,47,90,52,32,23,28,44,3094.0,3968.0,2951.0,3892.0,2686.0
12,43,51,106,60,28,25,27,42,3094.0,3968.0,2951.0,3892.0,2686.0
13,43,45,99,57,30,24,24,37,E,r,r,o,r
14,45,46,109,62,31,23,22,44,3094.0,3968.0,2950.0,3892.0,2686.0
15,49,44,98,60,32,23,22,57,3095.0,3968.0,2950.0,3892.0,2685.0
16,49,46,103,59,32,23,23,59,E,r,r,o,r
17,46,39,89,53,33,24,26,59,3095.0,3968.0,2951.0,3892.0,2686.0
18,47,42,97,57,32,23,28,60,3095.0,3968.0,2950.0,3892.0,2685.0
19,47,40,99,55,31,25,29,68,E,r,r,o,r
20,43,41,105,53,31,27,28,67,3095.0,3968.0,2950.0,3892.0,2685.0
21,41,36,100,55,34,26,29,67,3095.0,3968.0,2951.0,3892.0,2685.0
22,35,44,102,57,34,24,25,66,3095.0,3968.0,2951.0,3892.0,2686.0
23,41,45,99,54,32,23,25,69,3096.0,3968.0,2951.0,3892.0,2686.0
24,41,46,89,53,31,21,25,56,3096.0,3968.0,2951.0,3892.0,2686.0
25,39,45,85,52,31,22,26,52,3096.0,3968.0,2951.0,3892.0,2686.0
26,39,49,86,53,26,22,23,50,3096.0,3968.0,2951.0,3892.0,2686.0
27,40,47,91,56,27,21,24,51,3096.0,3969.0,2951.0,3892.0,2686.0
28,36,48,96,57,28,22,22,49,3096.0,3968.0,2951.0,3892.0,2686.0
29,34,45,95,54,26,22,20,48,3097.0,3968.0,2951.0,3892.0,2686.0
30,35,46,97,56,26,20,21,37,3096.0,3968.0,2951.0,3892.0,2686.0
31,38,46,97,53,28,20,20,38,3097.0,3968.0,2951.0,3891.0,2686.0
32,39,43,87,45,26,21,21,54,3097.0,3968.0,2951.0,3891.0,2686.0
33,41,41,81,44,29,22,21,58,3097.0,3968.0,2951.0,3891.0,2686.0
34,45,42,83,45,30,21,22,58,3097.0,3968.0,2951.0,3891.0,2686.0
35,47,45,82,46,31,22,22,63,3097.0,3969.0,2951.0,3891.0,2686.0
36,58,42,89,56,33,23,23,83,3097.0,3968.0,2951.0,3891.0,2686.0
37,66,40,88,57,33,22,23,74,3097.0,3968.0,2951.0,3891.0,2686.0
38,65,47,89,56,27,23,23,70,3098.0,3969.0,2951.0,3892.0,2686.0
39,64,44,87,57,26,24,26,71,3098.0,3968.0,2951.0,3891.0,2686.0
40,62,42,88,56,25,24,25,70,3098.0,3969.0,2951.0,3891.0,2686.0
41,56,42,76,45,25,25,27,59,3098.0,3969.0,2951.0,3892.0,2686.0
42,45,42,84,48,29,27,30,60,3098.0,3968.0,2951.0,3892.0,2686.0
43,44,38,80,47,29,27,30,63,3098.0,3969.0,2952.0,3892.0,2686.0
44,50,40,74,44,30,26,27,61,3098.0,3969.0,2951.0,3892.0,2686.0
45,59,40,71,43,29,27,27,59,3098.0,3969.0,2955.0,3892.0,2686.0
46,55,44,76,44,26,25,27,42,3098.0,3969.0,2955.0,3892.0,2686.0
47,57,45,72,42,23,26,27,51,3098.0,3968.0,2955.0,3892.0,2686.0
48,56,39,74,43,23,25,26,47,3098.0,3968.0,2956.0,3891.0,2686.0
49,48,42,83,50,23,26,26,48,3098.0,3968.0,2956.0,3892.0,2686.0
50,40,40,83,52,25,24,28,50,3099.0,3968.0,2956.0,3892.0,2686.0
51,41,39,85,54,26,26,25,55,3099.0,3968.0,2956.0,3891.0,2686.0
52,46,46,85,54,26,24,23,56,3098.0,3968.0,2956.0,3891.0,2686.0
53,49,48,81,52,26,23,23,60,3099.0,3968.0,2956.0,3891.0,2686.0
54,56,51,83,50,25,24,24,68,3099.0,3968.0,2955.0,3891.0,2686.0
