,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Thumb,Index,Middle,Ring,Pinkie
0,112,103,38,26,77,40,26,41,2649.0,4094.0,3580.0,4083.0,3178.0
1,107,115,36,25,76,39,28,42,2414.0,4047.0,3040.0,3939.0,2792.0
2,107,117,35,24,54,37,28,40,2414.0,4047.0,3041.0,3939.0,2792.0
3,114,135,37,24,80,33,28,47,2413.0,4047.0,3041.0,3939.0,2793.0
4,111,137,36,24,97,34,25,48,2414.0,4047.0,3040.0,3940.0,2793.0
5,116,144,35,25,99,41,25,46,E,r,r,o,r
6,129,145,40,27,106,42,25,51,2414.0,4047.0,3040.0,3940.0,2794.0
7,110,137,42,30,111,45,25,52,2414.0,4047.0,3040.0,3940.0,2794.0
8,101,118,38,30,93,44,22,42,E,r,r,o,r
9,100,118,39,30,72,43,24,43,2413.0,4047.0,3041.0,3941.0,2795.0
10,88,115,42,30,64,38,24,48,2411.0,4047.0,3041.0,3941.0,2796.0
11,66,91,39,29,50,37,25,41,E,r,r,o,r
12,66,86,35,27,39,33,23,37,2412.0,4048.0,3041.0,3941.0,2797.0
13,77,85,34,26,32,33,25,42,2411.0,4048.0,3042.0,3941.0,2797.0
14,94,94,34,26,31,34,24,43,2410.0,4048.0,3043.0,3941.0,2796.0
15,95,83,27,25,31,32,23,38,2409.0,4048.0,3043.0,3942.0,2797.0
16,97,83,27,24,31,31,20,41,2408.0,4049.0,3045.0,3943.0,2799.0
17,100,87,30,22,27,33,23,40,2408.0,4049.0,3046.0,3943.0,2800.0
18,88,87,32,22,32,36,29,39,2408.0,4049.0,3047.0,3943.0,2800.0
19,70,73,33,25,36,39,32,44,2406.0,4050.0,3055.0,3946.0,2801.0
20,77,86,54,35,39,48,34,53,E,r,r,o,r
21,109,111,60,38,45,56,61,81,2405.0,4050.0,3074.0,3948.0,2802.0
22,106,108,61,41,68,67,73,90,2402.0,4051.0,3103.0,3958.0,2808.0
23,116,117,65,50,113,102,78,98,2399.0,4051.0,3103.0,3964.0,2811.0
24,114,115,66,51,121,104,83,99,2398.0,4066.0,3130.0,3969.0,2814.0
25,111,104,70,56,128,109,104,124,2398.0,4078.0,3169.0,3979.0,2820.0
26,117,107,82,68,144,110,118,127,2398.0,4083.0,3195.0,3994.0,2824.0
27,119,105,94,73,157,127,137,197,2397.0,4087.0,3213.0,3994.0,2830.0
28,138,121,96,73,134,109,142,217,2391.0,4091.0,3249.0,4014.0,2847.0
29,139,122,99,77,141,143,152,221,2391.0,4091.0,3249.0,4014.0,2859.0
30,143,132,152,84,136,147,178,226,2394.0,4092.0,3277.0,4025.0,2870.0
31,136,134,167,81,121,147,168,233,2405.0,4093.0,3305.0,4035.0,2898.0
32,135,136,170,79,140,132,162,195,2408.0,4093.0,3305.0,4035.0,2909.0
33,115,119,169,75,144,138,173,233,2410.0,4094.0,3326.0,4042.0,2918.0
34,118,125,169,70,133,107,174,240,2415.0,4094.0,3345.0,4047.0,2935.0
35,130,129,126,64,141,102,152,242,2419.0,4094.0,3345.0,4047.0,2944.0
36,139,130,103,59,141,96,155,243,2421.0,4094.0,3360.0,4052.0,2953.0
37,148,134,92,60,113,155,147,234,2426.0,4094.0,3374.0,4054.0,2976.0
38,173,161,89,61,102,159,153,220,2428.0,4094.0,3379.0,4055.0,2983.0
39,180,172,97,61,99,171,145,216,2431.0,4094.0,3384.0,4056.0,2991.0
40,168,172,94,57,95,186,129,206,2435.0,4094.0,3392.0,4058.0,3006.0
41,162,161,86,55,105,193,121,195,2437.0,4094.0,3400.0,4060.0,3014.0
42,196,178,86,54,104,160,118,192,2438.0,4094.0,3402.0,4061.0,3020.0
43,182,158,83,52,108,150,83,133,2441.0,4094.0,3404.0,4061.0,3030.0
44,174,143,76,51,110,138,96,140,2443.0,4094.0,3406.0,4061.0,3032.0
45,179,136,77,49,104,123,95,128,2444.0,4094.0,3412.0,4062.0,3041.0
46,173,134,88,47,96,123,98,128,E,r,r,o,r
47,138,116,87,45,98,121,100,146,2445.0,4094.0,3417.0,4063.0,3049.0
48,134,125,90,49,100,130,100,181,2444.0,4094.0,3420.0,4064.0,3052.0
49,145,129,103,54,111,138,89,179,2444.0,4094.0,3421.0,4064.0,3055.0
50,153,141,121,61,128,212,122,200,2445.0,4094.0,3427.0,4065.0,3064.0
