,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Thumb,Index,Middle,Ring,Pinkie
0,31,36,32,25,21,29,22,35,2607.0,4094.0,3597.0,4079.0,3240.0
1,34,36,31,23,21,29,21,33,2412.0,4064.0,3078.0,3941.0,2782.0
2,36,38,33,22,21,29,21,34,2412.0,4064.0,3078.0,3941.0,2782.0
3,34,33,31,20,22,35,20,32,2413.0,4064.0,3077.0,3940.0,2783.0
4,34,34,28,20,22,31,17,30,2412.0,4064.0,3077.0,3940.0,2782.0
5,34,33,26,20,22,31,19,27,E,r,r,o,r
6,33,34,29,24,22,32,20,27,2412.0,4064.0,3078.0,3940.0,2782.0
7,35,37,25,24,21,31,21,26,2412.0,4064.0,3078.0,3940.0,2782.0
8,39,38,22,24,20,24,23,27,2412.0,4064.0,3078.0,3941.0,2783.0
9,43,41,23,23,19,26,22,29,2412.0,4064.0,3077.0,3941.0,2783.0
10,45,42,27,23,20,27,23,30,2413.0,4064.0,3077.0,3940.0,2783.0
11,42,38,24,18,18,26,23,28,2413.0,4065.0,3077.0,3940.0,2782.0
12,43,39,28,19,19,27,22,28,2413.0,4065.0,3077.0,3940.0,2782.0
13,43,42,32,19,20,28,21,31,E,r,r,o,r
14,39,40,33,22,21,30,21,30,2412.0,4064.0,3078.0,3941.0,2782.0
15,42,43,30,24,22,30,21,33,2412.0,4064.0,3078.0,3941.0,2782.0
16,43,43,31,26,21,29,20,36,2413.0,4064.0,3078.0,3940.0,2782.0
17,39,38,28,27,23,29,20,35,2413.0,4065.0,3078.0,3941.0,2781.0
18,40,37,25,27,22,26,20,37,2412.0,4065.0,3078.0,3941.0,2782.0
19,42,40,26,25,23,32,20,39,E,r,r,o,r
20,40,42,28,24,21,31,19,39,2412.0,4064.0,3078.0,3940.0,2782.0
21,39,42,28,22,21,32,19,38,2411.0,4064.0,3078.0,3941.0,2782.0
22,42,44,29,20,19,32,18,39,E,r,r,o,r
23,42,44,29,21,20,32,17,41,2411.0,4064.0,3078.0,3940.0,2782.0
24,45,43,31,22,22,44,19,41,2411.0,4064.0,3077.0,3940.0,2782.0
25,43,39,36,23,23,56,20,40,2410.0,4065.0,3077.0,3940.0,2782.0
26,43,39,43,25,25,58,21,41,2409.0,4064.0,3077.0,3941.0,2782.0
27,40,43,63,34,27,80,31,47,2409.0,4067.0,3077.0,3941.0,2782.0
28,40,53,86,43,33,104,54,73,2407.0,4080.0,3084.0,3946.0,2782.0
29,35,56,89,43,39,107,61,113,2407.0,4080.0,3096.0,3954.0,2786.0
30,35,58,89,43,43,106,66,119,2405.0,4087.0,3112.0,3961.0,2790.0
31,39,63,95,45,48,108,88,170,2405.0,4087.0,3131.0,3970.0,2797.0
32,40,59,92,47,65,110,101,205,E,r,r,o,r
33,44,55,86,44,74,104,98,206,2401.0,4091.0,3196.0,3997.0,2830.0
34,67,55,84,46,75,99,106,197,2400.0,4092.0,3218.0,4005.0,2848.0
35,71,58,86,49,87,102,110,196,E,r,r,o,r
36,79,59,76,48,90,107,105,161,2401.0,4093.0,3256.0,4017.0,2880.0
37,104,76,67,40,82,93,119,131,2399.0,4094.0,3276.0,4021.0,2889.0
38,106,75,44,37,72,78,121,141,2397.0,4094.0,3282.0,4028.0,2902.0
39,100,80,54,38,69,77,111,129,2395.0,4093.0,3288.0,4031.0,2909.0
40,98,77,50,35,55,71,108,130,2396.0,4094.0,3299.0,4036.0,2922.0
41,94,72,49,35,48,65,106,138,2396.0,4094.0,3307.0,4039.0,2928.0
42,66,54,49,37,72,101,91,138,2395.0,4094.0,3313.0,4040.0,2933.0
43,64,56,55,36,96,124,87,131,2392.0,4094.0,3324.0,4045.0,2944.0
44,57,48,43,32,97,125,91,140,E,r,r,o,r
45,82,63,42,32,96,127,94,159,2390.0,4094.0,3339.0,4050.0,2962.0
46,83,67,46,33,96,128,87,158,2389.0,4094.0,3342.0,4051.0,2968.0
47,86,69,45,34,79,102,73,147,2388.0,4094.0,3351.0,4053.0,2979.0
48,96,75,55,43,48,73,74,136,2386.0,4094.0,3362.0,4057.0,2991.0
49,114,104,58,42,64,73,71,131,2384.0,4094.0,3366.0,4058.0,2998.0
50,119,123,58,43,66,67,87,162,2383.0,4094.0,3370.0,4059.0,3004.0
51,127,125,58,44,68,58,107,229,2382.0,4094.0,3374.0,4061.0,3011.0
52,132,135,67,49,72,91,123,308,2382.0,4094.0,3380.0,4063.0,3029.0
53,134,143,58,44,75,100,144,326,E,r,r,o,r
54,149,136,57,45,62,142,161,339,2380.0,4094.0,3391.0,4065.0,3052.0
55,151,125,57,45,64,180,153,322,2379.0,4094.0,3391.0,4066.0,3064.0
56,152,127,57,48,76,241,150,287,2378.0,4094.0,3400.0,4069.0,3100.0
57,166,146,57,43,77,249,143,214,2378.0,4094.0,3402.0,4069.0,3111.0
58,177,143,66,46,76,251,137,195,E,r,r,o,r
59,157,138,73,46,78,241,134,195,2377.0,4094.0,3406.0,4070.0,3131.0
60,152,132,74,46,76,217,134,187,2377.0,4094.0,3408.0,4070.0,3138.0
61,166,135,77,44,67,159,141,184,2376.0,4094.0,3410.0,4071.0,3146.0
62,177,118,90,50,62,144,138,166,2375.0,4094.0,3413.0,4072.0,3161.0
63,170,119,92,50,61,154,126,158,2375.0,4094.0,3415.0,4072.0,3168.0
64,177,117,88,49,55,142,119,162,2375.0,4094.0,3418.0,4074.0,3175.0
65,185,122,91,49,56,143,122,185,2375.0,4094.0,3419.0,4073.0,3183.0
66,187,123,103,57,54,134,109,180,2375.0,4094.0,3422.0,4074.0,3196.0
67,189,136,92,53,55,121,121,204,2376.0,4094.0,3422.0,4074.0,3200.0
68,186,149,96,59,67,145,123,227,2375.0,4094.0,3425.0,4074.0,3209.0
69,185,153,120,74,87,162,117,215,2375.0,4094.0,3426.0,4075.0,3215.0
70,171,150,128,81,90,168,120,196,2376.0,4094.0,3429.0,4076.0,3224.0
71,177,152,132,77,90,199,165,195,2376.0,4094.0,3429.0,4076.0,3228.0
72,159,176,160,77,90,265,166,199,2379.0,4094.0,3431.0,4076.0,3230.0
73,154,176,165,79,91,244,167,177,2379.0,4094.0,3432.0,4076.0,3232.0
74,149,183,162,68,77,241,198,183,2380.0,4094.0,3433.0,4077.0,3234.0
75,167,212,204,73,85,373,198,205,2382.0,4094.0,3435.0,4077.0,3234.0
76,142,212,217,76,87,377,160,199,2385.0,4094.0,3436.0,4077.0,3235.0
77,123,183,211,81,99,342,148,172,2392.0,4094.0,3437.0,4077.0,3235.0
78,126,178,219,82,93,348,163,201,2396.0,4094.0,3437.0,4078.0,3235.0
79,126,182,241,92,102,401,134,197,2413.0,4094.0,3439.0,4077.0,3233.0
